S? TK nh?p_Mã hàng	APP	Gemini	GAP
308479282330_B680-54S	5	5	0
308479282330_B680-84	26	26	0
308479282330_B680-87	5	5	0
308479568850_1000617	2	2	0
308479568850_1940377	12	12	0
308479568850_1960408	1	1	0
308479568850_2110508	1	1	0
308479568850_2110577	3	3	0
308479568850_2590367	1	1	0
308479568850_7790146	12	12	0
308479568850_9210377	13	13	0
308479568850_9210416	4	4	0
308479615310_1900527	1	1	0
308479615310_2210377	1	1	0
308479615310_3460427	1	1	0
308479615310_3460489	23	23	0
308479615310_3660313	2	2	0
308479615310_5590361	2	2	0
308479615310_9050318	7	7	0
308479615310_U1340061	14	14	0
308479650860_D631-01	100	100	0
308479650860_D631-32	66	66	0
308479650860_D743-45	6	6	0
308479650860_D771-45	4	4	0
308479650860_D841-02A	2	2	0
308479733020_U1240015	12	12	0
308479781100_U6600014	6	6	0
308479781100_U6600015	30	30	0
308479827960_D631-124	254	254	0
308479827960_D743-01	200	200	0
308479862630_U1090015	10	10	0
308479862630_U1240018	2	2	0
308479901720_U2710513	16	16	0
308479901720_U2710515	21	21	0
308479901720_U2710518	18	18	0
308479919700_A4000017	7	7	0
308479919700_D380-724	14	14	0
308479919700_D380-930	22	22	0
308479919700_T389-13	1	1	0
308479919700_T471-1	44	44	0
308479919700_T471-2	70	70	0
308479919700_T471-4	24	24	0
308479919700_T600-0	14	14	0
308479919700_T600-6	1	1	0
308479964720_U1160215A	19	19	0
308479964720_U1160218A	19	19	0
308479988740_B753-31	2	2	0
308479988740_B769-31	8	8	0
308479988740_B823-46	2	2	0
308479988740_B824-36	10	10	0
308479988740_B824-97	90	90	0
308479997250_D194-15	13	13	0
308479997250_D394-113	29	29	0
308479997250_D394-124	112	112	0
308479997250_D394-32	23	23	0
308479997250_D394-423	45	45	0
308479997250_D542-130	24	24	0
308479997250_D546-23B	2	2	0
308479997250_D546-23T	3	3	0
308479997250_T518-6	13	13	0
308480038920_B916-46	47	47	0
308480049160_U1160115A	1	1	0
308480049160_U1160215A	44	44	0
308480084530_B916-46	57	57	0
308480259530_U2710513	12	12	0
308480259530_U2710515	23	23	0
308480259530_U2710518	18	18	0
308480351710_U2710513	12	12	0
308480351710_U2710515	23	23	0
308480351710_U2710518	18	18	0
308480395700_U2710513	12	12	0
308480395700_U2710515	23	23	0
308480395700_U2710518	18	18	0
308480456230_D199-01	6	6	0
308480456230_D199-15	3	3	0
308480456230_D335-01	2	2	0
308480456230_D335-15	4	4	0
308480456230_D383-223	9	9	0
308480456230_D383-325	3	3	0
308480456230_D384-223	3	3	0
308480456230_D384-325	7	7	0
308480456230_D388-024	10	10	0
308480456230_D388-13	16	16	0
308480456230_D388-224	23	23	0
308480456230_D388-230	8	8	0
308480456230_D388-423	3	3	0
308480456230_D398-01	56	56	0
308480456230_D398-124	58	58	0
308480456230_D398-13	5	5	0
308480456230_D398-15	10	10	0
308480650460_D398-223	65	65	0
308480650460_D399-01	14	14	0
308480650460_D399-124	192	192	0
308480650460_D399-15	7	7	0
308480650460_D546-124	24	24	0
308480809840_A4000021	4	4	0
308480809840_A4000286	3	3	0
308480809840_A4000557	6	6	0
308480809840_B280-671	1	1	0
308480809840_D546-224	2	2	0
308480809840_T623-6	9	9	0
308480809840_T623-8	4	4	0
308480809840_T632-8	5	5	0
308480838760_D985-03A	114	114	0
308480838760_D985-50B	14	14	0
308480838760_D985-50T	14	14	0
308480853350_1940377	11	11	0
308480853350_6600477	4	4	0
308480853350_9210377	4	4	0
308480893730_D440-024	18	18	0
308480893730_T961-6	2	2	0
308480893730_T961-8	12	12	0
308480927220_D985-03A	34	34	0
308480927220_D985-50B	8	8	0
308480927220_D985-50T	8	8	0
308480969700_B944-36	30	30	0
308480969700_B944-56W1	23	23	0
308480969700_B944-58W1	23	23	0
308480969700_B944-93W9	10	10	0
308480969700_B944-97W1	34	34	0
308481079710_2770535	3	3	0
308481079710_2900417	1	1	0
308481079710_4340265	11	11	0
308481079710_4340346	1	1	0
308481079710_4340364	13	13	0
308481079710_5050438	3	3	0
308481079710_5560338	10	10	0
308481079710_5950423	7	7	0
308481173620_1850788	18	18	0
308481173620_2170638	1	1	0
308481173620_3130466	1	1	0
308481173620_6880488	10	10	0
308481173620_A3000324	3	3	0
308481813900_A3000702	7	7	0
308481813900_A3000703	70	70	0
308481820530_B414-21	4	4	0
308481820530_B414-26	5	5	0
308481820530_B414-86	40	40	0
308481820530_T686-7	20	20	0
308481820530_T686-9	20	20	0
308481829300_6840617	15	15	0
308481829300_6840671	5	5	0
308481839060_1940377	24	24	0
308481839060_6690677	10	10	0
308481839060_A3000646	1	1	0
308481880950_1940377	15	15	0
308481880950_6600477	1	1	0
308481880950_7790108	18	18	0
308481880950_9210377	5	5	0
308481915030_1080129	23	23	0
308481915030_3460489	10	10	0
308482005330_3460489	11	11	0
308482074040_2430335	4	4	0
308482074040_2770435	1	1	0
308482074040_2770438	4	4	0
308482074040_4340216	6	6	0
308482074040_5050435	1	1	0
308482074040_5080523	7	7	0
308482074040_5080535	2	2	0
308482074040_5560338	1	1	0
308482074040_9454038	1	1	0
308482192230_1940377	25	25	0
308482192230_6600477	7	7	0
308482192230_6690677	4	4	0
308482192230_7660664	1	1	0
308482192230_7790108	28	28	0
308482192230_A3000646	5	5	0
308482368740_B794-36	28	28	0
308482413650_1940377	21	21	0
308482413650_3054016	9	9	0
308482413650_3054017	7	7	0
308482578740_4070812	17	17	0
308482578740_5080535	9	9	0
308482578740_U1040015	3	3	0
308482578740_U1210115	20	20	0
308482578740_U4380874	5	5	0
308482583160_T459-20	68	68	0
308482583160_T459-3	105	105	0
308482698660_U1143625	3	3	0
308482698660_U1170025	1	1	0
308482698660_U1210215	13	13	0
308482698660_U1230031	14	14	0
308482698660_U4380874	5	5	0
308482709420_T459-7	77	77	0
308482709420_T468-00	50	50	0
308482709420_T468-3	24	24	0
308482709420_T468-7	170	170	0
308482709420_T721-00	4	4	0
308482709420_T721-3	12	12	0
308482812060_7660664	8	8	0
308482812060_7660665	7	7	0
308482812060_8040423	1	1	0
308482812060_9250418	5	5	0
308482812060_A3000602	1	1	0
308483311860_T856-2	15	15	0
308483311860_T856-4	20	20	0
308483311860_W402-68	21	21	0
308483468110_A4000507	8	8	0
308483468110_D764-01	116	116	0
308483468110_T679-9	13	13	0
308483468110_T856-1	17	17	0
308483468110_T974-1	16	16	0
308483468110_T974-2	16	16	0
308483468110_W402-68	6	6	0
308483536120_1940377	1	1	0
308483536120_3054017	2	2	0
308483536120_3824055	4	4	0
308483536120_3824056	1	1	0
308483536120_4570416	1	1	0
308483536120_4570417	1	1	0
308483536120_6140546	1	1	0
308483536120_7660664	2	2	0
308483536120_7800166	3	3	0
308483581030_D922-01	336	336	0
308483584640_2900434	2	2	0
308483584640_3550416	1	1	0
308483584640_3550417	1	1	0
308483584640_4340365	7	7	0
308483584640_5050435	2	2	0
308483584640_5950423	1	1	0
308483584640_9970535	7	7	0
308483584640_U1200146	5	5	0
308483625830_D795-35	43	43	0
308483625830_D795-60	4	4	0
308483625830_W402-68	58	58	0
308483627930_U2710413	11	11	0
308483627930_U2710415	23	23	0
308483627930_U2710418	18	18	0
308483627930_U2710513	1	1	0
308483634710_1850788	17	17	0
308483634710_1940377	19	19	0
308483634710_7790108	20	20	0
308483652540_D923-01	336	336	0
308483730460_U2710415	31	31	0
308483730460_U2710418	3	3	0
308483730460_U2710515	2	2	0
308483730460_U2710518	9	9	0
308483739230_1080229	12	12	0
308483739230_2140699	1	1	0
308483739230_3460489	8	8	0
308483739230_6450694	3	3	0
308483739230_9180218	3	3	0
308483739230_U1340161	1	1	0
308483809820_1080229	27	27	0
308483809820_2820188	7	7	0
308483809820_3460489	11	11	0
308483865010_B916-36	78	78	0
308483865010_B916-46	20	20	0
308483865010_B916-54	6	6	0
308483865010_B916-57	2	2	0
308483865010_B916-58	3	3	0
308483865010_B916-93	3	3	0
308483865010_B916-97	4	4	0
308483913420_9210361	8	8	0
308483913420_B794-194	8	8	0
308483922410_B742-26	11	11	0
308483922410_B742-54	20	20	0
308483922410_B742-87	30	30	0
308483922410_B769-92W9	7	7	0
308483922410_B916-58	59	59	0
308483955160_R79790	1	1	0
308484103120_9210461	2	2	0
308484103120_9490261	2	2	0
308484103120_B794-181	23	23	0
308484103120_B794-197	100	100	0
308484153740_T007-527	40	40	0
308484153740_T553-6	44	44	0
308484153740_T747-4	3	3	0
308484153740_W647-60	20	20	0
308484153740_W808-68	17	17	0
308484153740_W841-168	32	32	0
308484156540_B794-181	7	7	0
308484156540_B794-182	53	53	0
308484169400_6670466	5	5	0
308484169400_6670467	3	3	0
308484169400_8040438	2	2	0
308484200640_B733-31	21	21	0
308484200640_B733-92	120	120	0
308484200640_H675-17	2	2	0
308484200640_H675-44	11	11	0
308484200640_T732-4	5	5	0
308484710350_1850788	6	6	0
308484710350_3824056	4	4	0
308484710350_6880488	1	1	0
308484710350_7660665	2	2	0
308484710350_7790108	24	24	0
308484710350_7800167	2	2	0
308484741850_1940377	1	1	0
308484741850_3824056	1	1	0
308484741850_4020755	4	4	0
308484741850_4020756	7	7	0
308484741850_6670467	2	2	0
308484770330_1080129	16	16	0
308484770330_1640425	4	4	0
308484770330_3460443	14	14	0
308484770330_4450525	4	4	0
308484770330_5670418	4	4	0
308484770330_5930147	1	1	0
308484770330_6450694	1	1	0
308484770330_9210216	1	1	0
308484770330_U1340161	2	2	0
308484799360_2430316	1	1	0
308484799360_2430338	7	7	0
308484799360_2430516	2	2	0
308484799360_2430517	1	1	0
308484799360_2610635	1	1	0
308484799360_4340346	32	32	0
308484799360_4340364	1	1	0
308484799360_4340365	13	13	0
308484799360_9454038	1	1	0
308484799360_9970535	2	2	0
308484799360_9970538	1	1	0
308484814800_2430338	1	1	0
308484814800_2610635	6	6	0
308484814800_2610638	8	8	0
308484814800_2610735	3	3	0
308484814800_2610738	8	8	0
308484814800_2770438	1	1	0
308484814800_2770555	1	1	0
308484814800_2770567	1	1	0
308484814800_4100235	1	1	0
308484814800_4340346	4	4	0
308484814800_4500323	8	8	0
308484814800_9510423	1	1	0
308484814800_9970535	3	3	0
308484814800_9970538	3	3	0
308484814800_U1230046	3	3	0
308484830050_1080129	1	1	0
308484830050_1640425	1	1	0
308484830050_2140599	8	8	0
308484830050_2140699	7	7	0
308484830050_2820188	1	1	0
308484830050_3460443	8	8	0
308484830050_3460489	14	14	0
308484830050_U1340161	1	1	0
308484856060_2430338	4	4	0
308484856060_2610638	1	1	0
308484856060_2610738	3	3	0
308484856060_3370635	11	11	0
308484856060_4100238	2	2	0
308484856060_9970538	1	1	0
308484882330_7790108	69	69	0
308484900420_2110564	4	4	0
308484900420_7660665	1	1	0
308484910660_4297055	12	12	0
308484910660_7660677	5	5	0
308484923520_3427026	3	3	0
308484923520_3427126	4	4	0
308484923520_3460489	8	8	0
308484923520_6880488	1	1	0
308484923520_U1340161	9	9	0
308484933100_4030667	1	1	0
308484933100_4297055	26	26	0
308484933100_6670467	1	1	0
308484962830_1080129	17	17	0
308484962830_1080229	6	6	0
308484962830_2140599	6	6	0
308484962830_3320296	5	5	0
308484962830_3460443	5	5	0
308484962830_3460489	6	6	0
308484962830_3810425	3	3	0
308485009030_P321-050	20	20	0
308485015920_P373-615B	20	20	0
308485066210_4297055	8	8	0
308485066210_4297056	2	2	0
308485089860_4297055	2	2	0
308485089860_4297056	12	12	0
308485089860_7800167	1	1	0
308485089860_7947038	3	3	0
308485089860_8721335	2	2	0
308485089860_9810416	4	4	0
308485096310_3320296	5	5	0
308485096310_3460443	6	6	0
308485096310_4280599	1	1	0
308485096310_5670418	7	7	0
308485096310_5930147	1	1	0
308485118340_2590365	1	1	0
308485118340_4297056	23	23	0
308485118340_6310135	3	3	0
308485118340_9810516	1	1	0
308485118340_A3000325	7	7	0
308485118820_2110465	2	2	0
308485118820_2110565	4	4	0
308485118820_4020755	3	3	0
308485118820_4030666	1	1	0
308485118820_7660677	2	2	0
308485118820_7670246	1	1	0
308485118820_7790108	29	29	0
308485118820_9212146	1	1	0
308485118820_A3000325	13	13	0
308485134110_2110565	3	3	0
308485134110_4297055	6	6	0
308485134110_4297056	14	14	0
308485134110_6310135	4	4	0
308485134110_9810316	1	1	0
308485134110_9810516	5	5	0
308485134110_A3000325	20	20	0
308485134110_A3000326	2	2	0
308485137240_6690655	8	8	0
308485137240_7947038	1	1	0
308485137240_8470426	4	4	0
308485137240_8470430	4	4	0
308485137240_9210265	11	11	0
308485138750_6690655	7	7	0
308485138750_6690656	4	4	0
308485138750_7361123	1	1	0
308485138750_9810377	3	3	0
308485138750_9810477	2	2	0
308485141810_1080329	11	11	0
308485141810_2140599	1	1	0
308485141810_3460489	8	8	0
308485141810_3810425	6	6	0
308485141810_4280499	1	1	0
308485141810_4280599	2	2	0
308485141810_5670418	9	9	0
308485141810_5930118	8	8	0
308485141810_5930147	1	1	0
308485142140_4570455	1	1	0
308485142140_6690655	1	1	0
308485142140_6690656	11	11	0
308485142140_9810308	4	4	0
308485142140_9810408	2	2	0
308485142140_9810508	4	4	0
308485142400_7361135	2	2	0
308485142400_7361138	2	2	0
308485142400_9210264	5	5	0
308485142400_9210265	12	12	0
308485142400_9810377	6	6	0
308485142620_4570456	1	1	0
308485142620_5490808	4	4	0
308485142620_9210264	14	14	0
308485142620_9810323	1	1	0
308485142620_9810408	3	3	0
308485143430_2770525	1	1	0
308485143430_4070912	3	3	0
308485143430_U1200058	1	1	0
308485143430_U1200162	1	1	0
308485143430_U1210215	14	14	0
308485143430_U1230058	14	14	0
308485143430_U1230062	15	15	0
308485143430_U1310098	1	1	0
308485143430_U4380874	14	14	0
308485145310_1080329	33	33	0
308485145310_3320287	14	14	0
308485145310_4570455	2	2	0
308485146010_6600464	8	8	0
308485146010_7637020	3	3	0
308485146340_6600464	1	1	0
308485146340_7290738	1	1	0
308485146340_7637020	4	4	0
308485146340_9210264	1	1	0
308485146340_9810523	2	2	0
308485146340_9810577	6	6	0
308485147960_6600464	3	3	0
308485147960_6600465	4	4	0
308485147960_7290735	1	1	0
308485147960_7637020	1	1	0
308485147960_7637035	1	1	0
308485147960_7637038	2	2	0
308485147960_9810423	4	4	0
308485147960_A3000325	1	1	0
308485147960_A3000326	8	8	0
308485147960_A3000732	1	1	0
308485148330_4630703	4	4	0
308485278530_2210384	1	1	0
308485278530_2210385	1	1	0
308485278530_3460443	1	1	0
308485278530_4030608	2	2	0
308485278530_4297008	12	12	0
308485278530_4320608	2	2	0
308485278530_4570408	3	3	0
308485278530_4800208	3	3	0
308485278530_5490808	1	1	0
308485278530_5670418	1	1	0
308485278530_6590762	1	1	0
308485278530_6600465	8	8	0
308485278530_6690656	1	1	0
308485278530_7430577	1	1	0
308485278530_7637038	6	6	0
308485278530_9810308	2	2	0
308485278530_9810377	1	1	0
308485278530_9810523	1	1	0
308485278530_9810577	1	1	0
308485278530_A3000732	1	1	0
308485348860_4800251	20	20	0
308485348860_5550338	2	2	0
308485673810_2430438	3	3	0
308485673810_4500335	2	2	0
308485673810_4500338	8	8	0
308485763520_4030634	3	3	0
308485763520_4340208	8	8	0
308485763520_4340308	23	23	0
308485763520_5910608	6	6	0
308485763520_7780538	2	2	0
308485763520_9810338	1	1	0
308485763520_9810464	1	1	0
308485951930_3460443	4	4	0
308485951930_3810425	2	2	0
308485951930_4030646	2	2	0
308485951930_5670413	9	9	0
308485951930_5930118	2	2	0
308485951930_5930147	4	4	0
308485951930_6690646	6	6	0
308486196120_3460443	5	5	0
308486196120_5670413	4	4	0
308486199840_2200413	2	2	0
308486199840_2200418	6	6	0
308486199840_U6600014	38	38	0
308486293310_U1070031	99	99	0
308486324330_2610735	1	1	0
308486324330_2610738	1	1	0
308486324330_3370635	1	1	0
308486324330_3370638	9	9	0
308486324330_4100235	5	5	0
308486324330_4100238	4	4	0
308486324330_4340216	1	1	0
308486324330_4340365	1	1	0
308486324330_4500323	1	1	0
308486324330_4500335	12	12	0
308486324330_5050435	1	1	0
308486324330_6190417	1	1	0
308486324330_8290202	2	2	0
308486364710_U1160013A	24	24	0
308486364710_U1160113A	1	1	0
308486422810_U1090018	36	36	0
308486453500_2110464	1	1	0
308486453500_2110564	3	3	0
308486453500_3824055	6	6	0
308486453500_3824056	3	3	0
308486453500_7660665	1	1	0
308486453500_7660677	2	2	0
308486453500_7670246	3	3	0
308486453500_A3000002	4	4	0
308486466100_U1090015	30	30	0
308486502720_2200315	45	45	0
308486544500_2200413	16	16	0
308486544500_U1250046	41	41	0
308486544500_U1250077	12	12	0
308486602010_U1250058	31	31	0
308486602010_U1250062	29	29	0
308486772000_2430438	1	1	0
308486772000_4340217	1	1	0
308486772000_4500338	6	6	0
308486795910_U2710513	11	11	0
308486795910_U2710515	23	23	0
308486795910_U2710518	18	18	0
308486795910_U2710613	1	1	0
308486835700_D423-325	32	32	0
308486835700_D425-223	56	56	0
308486835700_D425-225	14	14	0
308486835700_D425-325	10	10	0
308486835700_D609-225	14	14	0
308486842810_U2710515	30	30	0
308486842810_U2710518	1	1	0
308486842810_U2710615	3	3	0
308486931010_7670208	22	22	0
308486931010_9200535	2	2	0
308486935800_D546-424	264	264	0
308486935800_D546-524	170	170	0
308486935800_D689-60	1	1	0
308487079850_1440465088	1	1	0
308487079850_1440477040	1	1	0
308487079850_1440477188	1	1	0
308487079850_1440477288	1	1	0
308487079850_4800251	7	7	0
308487079850_5860546040	1	1	0
308487136110_D634-65	6	6	0
308487187320_U2710613	18	18	0
308487187320_U2710615	25	25	0
308487187320_U2710618	12	12	0
308487230350_U2710613	18	18	0
308487230350_U2710615	25	25	0
308487230350_U2710618	12	12	0
308487261630_U2710515	2	2	0
308487261630_U2710613	18	18	0
308487261630_U2710615	21	21	0
308487261630_U2710618	14	14	0
308487347030_A3000702	129	129	0
308487361250_6840671	34	34	0
308487361250_6840677	32	32	0
308487433610_3460443	15	15	0
308487433610_3810425	2	2	0
308487433610_5670413	5	5	0
308487433610_5930113	7	7	0
308487433610_6420218	1	1	0
308487433610_6450694	2	2	0
308487444000_6570729	5	5	0
308487444000_9180282	2	2	0
308487444000_9200535	5	5	0
308487476530_5390215	29	29	0
308487476530_U1200018	2	2	0
308487476530_U1200118	1	1	0
308487476530_U1210215	2	2	0
308487476530_U1230062	1	1	0
308487476530_U1350213	2	2	0
308487476530_U4380874	3	3	0
308487526930_4340217	8	8	0
308487526930_4340317	2	2	0
308487542110_5430488	22	22	0
308487542110_5430494	15	15	0
308487542110_5930118	1	1	0
308487542110_5930218	9	9	0
308487542110_6420218	1	1	0
308487603710_9810377	1	1	0
308487603710_A3000002	8	8	0
308487631930_4800251	1	1	0
308487631930_7550935	5	5	0
308487631930_9212177	1	1	0
308487639740_D394-425	130	130	0
308487672640_4340308	1	1	0
308487672640_6670416	6	6	0
308487672640_6670417	2	2	0
308487672640_7310914	1	1	0
308487672640_7670208	9	9	0
308487672640_9810366	6	6	0
308487672640_A3000244	8	8	0
308487863410_7550935	4	4	0
308487863410_9230514	3	3	0
308487863410_9810366	3	3	0
308487943210_B779-92	168	168	0
308487980640_7550920	9	9	0
308488117360_A4000706	3	3	0
308488117360_B697-298	32	32	0
308488117360_B697-57	6	6	0
308488117360_B779-78	16	16	0
308488117360_B923-31	17	17	0
308488117360_B923-46	10	10	0
308488117360_B923-93	26	26	0
308488188210_D618-35	73	73	0
308488188210_D631-01	68	68	0
308488188210_D735-01	40	40	0
308488252460_D631-32	34	34	0
308488252460_D631-45	104	104	0
308488384210_3460443	24	24	0
308488384210_5430494	10	10	0
308488393750_2770546	2	2	0
308488393750_3977155	1	1	0
308488393750_3977156	2	2	0
308488393750_4500338	2	2	0
308488393750_5530316	1	1	0
308488393750_7970235	7	7	0
308488393750_8614055	4	4	0
308488393750_8614056	3	3	0
308488393750_U1033077	13	13	0
308488393750_U1230057	6	6	0
308488393750_U1230060	1	1	0
308488456900_4297077	14	14	0
308488456900_7550935	4	4	0
308488569120_4297077	12	12	0
308488569120_7550935	1	1	0
308488569120_7660646	9	9	0
308488584410_D642-32	80	80	0
308488584410_D647-01	200	200	0
308488602020_D596-35	13	13	0
308488602020_D647-01	100	100	0
308488602020_D647-09	16	16	0
308488602020_D736-01	64	64	0
308488602020_D736-09	77	77	0
308488603160_D647-60	13	13	0
308488603160_D736-60	3	3	0
308488606220_3054023	1	1	0
308488606220_7970220	3	3	0
308488606220_U1070146A	7	7	0
308488606220_U1070158	3	3	0
308488606220_U1070177	25	25	0
308488606220_U4380887	1	1	0
308488615760_D824-09	430	430	0
308488616240_D642-124	272	272	0
308488898560_D618-01	16	16	0
308488898560_D618-35	10	10	0
308488898560_D631-01	200	200	0
308488898560_D631-60	5	5	0
308488898560_D743-45	3	3	0
308489189650_5430488	23	23	0
308489189650_5430494	24	24	0
308489189650_9860625	1	1	0
308489212860_1940346	21	21	0
308489212860_4297077	10	10	0
308489212860_7660646	13	13	0
308489212860_7790108	3	3	0
308489237510_2820186	15	15	0
308489237510_3130538	1	1	0
308489237510_3880586	7	7	0
308489237510_3880686	2	2	0
308489237510_7550938	4	4	0
308489263520_1940346	13	13	0
308489263520_3824035	8	8	0
308489263520_4060514	1	1	0
308489263520_4297077	18	18	0
308489263520_9200514	2	2	0
308489361630_1940346	17	17	0
308489361630_3824035	4	4	0
308489361630_3824056	1	1	0
308489361630_6600446	2	2	0
308489361630_7550935	1	1	0
308489371540_1940346	13	13	0
308489371540_3824035	8	8	0
308489371540_4030677	1	1	0
308489371540_9270577	1	1	0
308489384030_1940346	11	11	0
308489384030_4297056	1	1	0
308489384030_4570477	3	3	0
308489384030_6600446	8	8	0
308489384030_7550935	1	1	0
308489384030_9810577	1	1	0
308489391620_3824035	3	3	0
308489391620_5200335	1	1	0
308489391620_6600446	4	4	0
308489391620_9270577	1	1	0
308489399540_1850788	1	1	0
308489399540_7550938	15	15	0
308489399540_9810367	10	10	0
308489479930_1130446	2	2	0
308489479930_2430367	1	1	0
308489479930_2430438	1	1	0
308489479930_2430566	1	1	0
308489479930_2430567	2	2	0
308489479930_2520638	2	2	0
308489479930_2770538	6	6	0
308489479930_2770556	1	1	0
308489479930_2770566	1	1	0
308489479930_3020438	1	1	0
308489479930_3550466	1	1	0
308489479930_3550467	1	1	0
308489479930_3977134	2	2	0
308489479930_3977155	1	1	0
308489479930_5530367	1	1	0
308489479930_6190466	1	1	0
308489479930_7970235	1	1	0
308489479930_8614056	1	1	0
308489479930_U1033077	2	2	0
308489479930_U6260657	1	1	0
308489479930_U6260746	2	2	0
308489493450_1940346	12	12	0
308489493450_5200338	4	4	0
308489493450_9200538	8	8	0
308489493450_9212164	6	6	0
308489497760_7790146	48	48	0
308489497760_9210364	10	10	0
308489497760_9212164	2	2	0
308489524510_1700417	1	1	0
308489524510_2140599	1	1	0
308489524510_2590365	1	1	0
308489524510_3130567	1	1	0
308489524510_3824021	4	4	0
308489524510_4297056	2	2	0
308489524510_5020608	1	1	0
308489524510_5930218	1	1	0
308489524510_7670208	2	2	0
308489524510_7780520	2	2	0
308489524510_9210265	3	3	0
308489524510_9212177	1	1	0
308489524510_9230423	3	3	0
308489524510_9230523	1	1	0
308489524510_9510408	1	1	0
308489524510_9810438	1	1	0
308489524510_9810466	1	1	0
308489524510_9810538	2	2	0
308489524510_9810577	1	1	0
308489524510_A3000724	1	1	0
308489525210_3824035	1	1	0
308489525210_7780535	1	1	0
308489525210_8254055	6	6	0
308489525210_8470455	3	3	0
308489525210_9200538	2	2	0
308489525210_9810438	6	6	0
308489525210_9810538	3	3	0
308489532430_7430546	4	4	0
308489532430_7670208	1	1	0
308489532430_7790146	41	41	0
308489532430_8254055	4	4	0
308489532430_8470456	3	3	0
308489532430_9210364	15	15	0
308489533020_5430488	16	16	0
308489533020_5430494	29	29	0
308489533020_5670418	9	9	0
308489533020_5930118	1	1	0
308489540720_2820186	6	6	0
308489540720_5430488	10	10	0
308489540720_5930218	6	6	0
308489540720_6380229	2	2	0
308489540720_6380329	2	2	0
308489540720_6450694	1	1	0
308489540720_7790146	24	24	0
308489540720_8254055	4	4	0
308489540720_9180247	3	3	0
308489540720_9880262	1	1	0
308489540720_U1340161	1	1	0
308489541200_7790146	20	20	0
308489541200_9210364	15	15	0
308489541200_9212164	2	2	0
308489541200_9880246	2	2	0
308489541640_5390215	10	10	0
308489541640_U1210118	20	20	0
308489541640_U1230062	1	1	0
308489541640_U4380874	1	1	0
308489542560_3824035	3	3	0
308489542560_7790146	7	7	0
308489542560_8254055	13	13	0
308489542560_8254056	3	3	0
308489543150_7670234	8	8	0
308489543150_7790146	6	6	0
308489543150_8254056	8	8	0
308489543150_9210364	6	6	0
308489543150_9810535	1	1	0
308489544920_6590646	4	4	0
308489544920_6590746	12	12	0
308489544920_7790146	4	4	0
308489544920_8010438	5	5	0
308489544920_9210364	6	6	0
308489545030_7670234	28	28	0
308489545030_8010435	11	11	0
308489545030_8254055	4	4	0
308489545030_8254056	8	8	0
308489545030_9810335	1	1	0
308489545030_9810435	3	3	0
308489546320_7670234	26	26	0
308489546320_8254056	1	1	0
308489546320_9810534	4	4	0
308489546320_9810546	4	4	0
308489546430_7670234	4	4	0
308489546430_7790146	5	5	0
308489546430_8254056	8	8	0
308489546430_9210464	4	4	0
308489546430_9810546	1	1	0
308489546540_U1210218	18	18	0
308489546540_U6260613	6	6	0
308489546540_U6260631	2	2	0
308489546540_U6260658	6	6	0
308489546540_U6260662	6	6	0
308489546540_U6260731	4	4	0
308489546540_U6260747	2	2	0
308489546540_U6260758	3	3	0
308489546540_U6260762	4	4	0
308489546910_3460489	1	1	0
308489546910_5300425	3	3	0
308489546910_5430488	14	14	0
308489546910_7670234	12	12	0
308489546910_8160252	11	11	0
308489546910_8160352	6	6	0
308489546910_9180282	1	1	0
308489547940_4820220	3	3	0
308489547940_6590646	6	6	0
308489547940_6590746	1	1	0
308489547940_7670234	8	8	0
308489547940_7670246	9	9	0
308489547940_9200520	4	4	0
308489547940_9210464	1	1	0
308489547940_9810346	1	1	0
308489548160_7670234	6	6	0
308489548160_7670246	20	20	0
308489548160_7790146	9	9	0
308489548160_8470417	1	1	0
308489548160_9810467	4	4	0
308489548160_9810567	1	1	0
308489550150_7670246	4	4	0
308489550150_7790146	60	60	0
308489550150_9210464	1	1	0
308489550410_1940346	18	18	0
308489550410_2590346	9	9	0
308489550410_6600446	16	16	0
308489550410_7790146	12	12	0
308489550410_9212164	11	11	0
308489550740_7670246	21	21	0
308489550740_7790146	65	65	0
308489550740_9210464	12	12	0
308489551110_7790146	54	54	0
308489551110_9210364	18	18	0
308489998410_D594-32	2	2	0
308489998410_D602-00	4	4	0
308489998410_D634-80	2	2	0
308489998410_D736-25	11	11	0
308489999220_D618-13	2	2	0
308489999220_D769-60	15	15	0
308489999220_D824-05	168	168	0
308489999220_D824-224	2	2	0
308490000250_D592-00	49	49	0
308490000250_D736-32	11	11	0
308490000620_D824-13	46	46	0
308490000620_W5922-20	4	4	0
308490002130_D647-55T	1	1	0
308490002830_D647-55B	1	1	0
308491497700_U2710413	18	18	0
308491497700_U2710415	25	25	0
308491497700_U2710418	12	12	0
308491512840_B680-36	30	30	0
308491512840_B680-46	25	25	0
308491512840_B680-54	7	7	0
308491512840_B680-54S	18	18	0
308491512840_B680-56S	17	17	0
308491512840_B680-57	20	20	0
308491512840_B685-46	27	27	0
308491537600_2200315	45	45	0
308491551010_B680-186	23	23	0
308491551010_B680-31	40	40	0
308491551010_B680-36	32	32	0
308491551010_B680-86	1	1	0
308491551010_B680-99	20	20	0
308491551010_B685-31	17	17	0
308491560810_4820238	3	3	0
308491560810_7790146	34	34	0
308491560810_8470416	2	2	0
308491560810_9200520	3	3	0
308491560810_9210464	5	5	0
308491588700_2200315	45	45	0
308491630110_2200315	45	45	0
