Item,Open_CO_Qty,Total_Open_CO_Qty,Open_CO(%),Acc(%),Item_Status
B2617-46W1,9,484630,1.857086849761674e-05,1.0103728617708414,Active
B615-81W1,9,484630,1.857086849761674e-05,1.010391432639339,Active
B954-56W1,9,484630,1.857086849761674e-05,1.0104100035078367,Active
B954-58W1,9,484630,1.857086849761674e-05,1.0104285743763344,Active
B697-74W1,9,484630,1.857086849761674e-05,1.010447145244832,Disco
B697-77W1,9,484630,1.857086849761674e-05,1.0104657161133297,Disco
B697-98W1,9,484630,1.857086849761674e-05,1.0104842869818274,Disco
R407202,9,484630,1.857086849761674e-05,1.010502857850325,Active
EB2444-113,9,484630,1.857086849761674e-05,1.0105214287188227,Active
EB2444-157,9,484630,1.857086849761674e-05,1.0105399995873203,Active
B2614-158W1,9,484630,1.857086849761674e-05,1.010558570455818,Active
H675-11,9,484630,1.857086849761674e-05,1.0105771413243156,Active
A4000702,9,484630,1.857086849761674e-05,1.0105957121928133,Active
A2000702,9,484630,1.857086849761674e-05,1.010614283061311,Unavailable
100-2,9,484630,1.857086849761674e-05,1.0106328539298086,Active
A1001108,9,484630,1.857086849761674e-05,1.0106514247983063,Active
B2614-58W1,9,484630,1.857086849761674e-05,1.010669995666804,Active
B783-93W9,9,484630,1.857086849761674e-05,1.0106885665353016,Disco
B949-54,8,484630,1.650743866454821e-05,1.0107050739739663,Active
B687-52S,8,484630,1.650743866454821e-05,1.010721581412631,Active
B687-84S,8,484630,1.650743866454821e-05,1.0107380888512956,Active
T483-13,8,484630,1.650743866454821e-05,1.0107545962899602,Active
P428-701,8,484630,1.650743866454821e-05,1.0107711037286249,Active
P007-703,8,484630,1.650743866454821e-05,1.0107876111672895,Active
P009-898,8,484630,1.650743866454821e-05,1.0108041186059542,Active
A4000706,8,484630,1.650743866454821e-05,1.0108206260446189,Active
M33231W2,8,484630,1.650743866454821e-05,1.0108371334832835,New
B771-94,8,484630,1.650743866454821e-05,1.0108536409219482,Active
EB1865-231,8,484630,1.650743866454821e-05,1.0108701483606128,Active
EB3660-245,8,484630,1.650743866454821e-05,1.0108866557992775,Active
A2000690,8,484630,1.650743866454821e-05,1.0109031632379422,Active
M33131W2,8,484630,1.650743866454821e-05,1.0109196706766068,New
B181-54,8,484630,1.650743866454821e-05,1.0109361781152715,Active
B181-57,8,484630,1.650743866454821e-05,1.0109526855539361,Active
B481-176S,8,484630,1.650743866454821e-05,1.0109691929926008,Unavailable
B481-78,8,484630,1.650743866454821e-05,1.0109857004312655,Unavailable
R406820,8,484630,1.650743866454821e-05,1.0110022078699301,Active
B857-62,8,484630,1.650743866454821e-05,1.0110187153085948,Unavailable
B857-72,8,484630,1.650743866454821e-05,1.0110352227472594,Unavailable
EB9630-52,8,484630,1.650743866454821e-05,1.011051730185924,Active
B622-58,8,484630,1.650743866454821e-05,1.0110682376245888,Unavailable
P783-701,8,484630,1.650743866454821e-05,1.0110847450632534,Active
A2000867,8,484630,1.650743866454821e-05,1.011101252501918,Active
B2617-57,8,484630,1.650743866454821e-05,1.0111177599405827,New
B2617-54W1,8,484630,1.650743866454821e-05,1.0111342673792474,New
B2618-91W9,8,484630,1.650743866454821e-05,1.011150774817912,Active
EB4121-157,8,484630,1.650743866454821e-05,1.0111672822565767,Active
D5822-25,8,484630,1.650743866454821e-05,1.0111837896952414,Disco
