Location,Disabled,Reason,Date,Unnamed: 4
A3015EM8,Y,Pillars,45265.0,
A3015GE1,Y,CrossAisle,45265.0,
A3015GE2,Y,CrossAisle,45265.0,
A3015GE3,Y,CrossAisle,45265.0,
A3015GE4,Y,CrossAisle,45265.0,
A3015GE5,Y,CrossAisle,45265.0,
A3015GE6,Y,CrossAisle,45265.0,
A3015GE7,Y,CrossAisle,45265.0,
A3015GE8,Y,CrossAisle,45265.0,
A3015GF1,Y,CrossAisle,45265.0,
A3015GF2,Y,CrossAisle,45265.0,
A3015GF3,Y,CrossAisle,45265.0,
A3015GF4,Y,CrossAisle,45265.0,
A3015GF5,Y,CrossAisle,45265.0,
A3015GF6,Y,CrossAisle,45265.0,
A3015GF7,Y,CrossAisle,45265.0,
A3015GF8,Y,CrossAisle,45265.0,
A3015GH1,Y,CrossAisle,45265.0,
A3015GH2,Y,CrossAisle,45265.0,
A3015GH3,Y,CrossAisle,45265.0,
A3015GH4,Y,CrossAisle,45265.0,
A3015GH5,Y,CrossAisle,45265.0,
A3015GH6,Y,CrossAisle,45265.0,
A3015GH7,Y,CrossAisle,45265.0,
A3015GH8,Y,CrossAisle,45265.0,
A3015JD6,Y,Pillars,45265.0,
A3015JD7,Y,Pillars,45265.0,
A3015JD8,Y,Pillars,45265.0,
A3015JE6,Y,Pillars,45265.0,
A3015JE7,Y,Pillars,45265.0,
A3015JE8,Y,Pillars,45265.0,
A3015JZ6,Y,Pillars,45265.0,
A3015JZ7,Y,Pillars,45265.0,
A3015JZ8,Y,Pillars,45265.0,
A3015LA6,Y,Pillars,45265.0,
A3015LA7,Y,Pillars,45265.0,
A3015LA8,Y,Pillars,45265.0,
A3015LC8,Y,not exist,45265.0,
A3015LD8,Y,not exist,45265.0,
A3015LE8,Y,not exist,45265.0,
A3015LF8,Y,not exist,45265.0,
A3015LG8,Y,not exist,45265.0,
A3015LH8,Y,not exist,45265.0,
A3015LJ8,Y,not exist,45265.0,
A3015LK8,Y,not exist,45265.0,
A3015LL8,Y,not exist,45265.0,
A3015LM8,Y,not exist,45265.0,
A3015LN8,Y,not exist,45265.0,
A3015LP8,Y,not exist,45265.0,
A3014FD1,Y,fire hydrant,45265.0,
A3010GG1,ZZ,CrossAisle,,
A3010GG2,ZZ,CrossAisle,,
A3010GG3,ZZ,CrossAisle,,
A3010GG4,ZZ,CrossAisle,,
A3011GG1,ZZ,CrossAisle,,
A3011GG2,ZZ,CrossAisle,,
A3011GG3,ZZ,CrossAisle,,
A3011GG4,ZZ,CrossAisle,,
A3012GG1,ZZ,CrossAisle,,
A3012GG2,ZZ,CrossAisle,,
A3012GG3,ZZ,CrossAisle,,
A3012GG4,ZZ,CrossAisle,,
A3013GG1,ZZ,CrossAisle,,
A3013GG2,ZZ,CrossAisle,,
A3013GG3,ZZ,CrossAisle,,
A3013GG4,ZZ,CrossAisle,,
A3014GG1,ZZ,CrossAisle,,
A3014GG2,ZZ,CrossAisle,,
A3014GG3,ZZ,CrossAisle,,
A3014GG4,ZZ,CrossAisle,,
A3016GG1,ZZ,CrossAisle,,
A3016GG2,ZZ,CrossAisle,,
A3016GG3,ZZ,CrossAisle,,
A3016GG4,ZZ,CrossAisle,,
A3020GG1,ZZ,CrossAisle,,
A3020GG2,ZZ,CrossAisle,,
A3020GG3,ZZ,CrossAisle,,
A3020GG4,ZZ,CrossAisle,,
A3021GG1,ZZ,CrossAisle,,
A3021GG2,ZZ,CrossAisle,,
A3021GG3,ZZ,CrossAisle,,
A3021GG4,ZZ,CrossAisle,,
A3022GG1,ZZ,CrossAisle,,
A3022GG2,ZZ,CrossAisle,,
A3022GG3,ZZ,CrossAisle,,
A3022GG4,ZZ,CrossAisle,,
A3023GG1,ZZ,CrossAisle,,
A3023GG2,ZZ,CrossAisle,,
A3023GG3,ZZ,CrossAisle,,
A3023GG4,ZZ,CrossAisle,,
A3024GG1,ZZ,CrossAisle,,
A3024GG2,ZZ,CrossAisle,,
A3024GG3,ZZ,CrossAisle,,
A3024GG4,ZZ,CrossAisle,,
A3025GG1,ZZ,CrossAisle,,
A3025GG2,ZZ,CrossAisle,,
A3025GG3,ZZ,CrossAisle,,
A3025GG4,ZZ,CrossAisle,,
A3019CB1,ZZ,Special Aisle,,
A3019CB2,ZZ,Special Aisle,,
A3019CB3,ZZ,Special Aisle,,
A3019CB4,ZZ,Special Aisle,,
A3019CC1,ZZ,Special Aisle,,
A3019CC2,ZZ,Special Aisle,,
A3019CC3,ZZ,Special Aisle,,
A3019CC4,ZZ,Special Aisle,,
A3019CF1,ZZ,Special Aisle,,
A3019CF2,ZZ,Special Aisle,,
A3019CF3,ZZ,Special Aisle,,
A3019CF4,ZZ,Special Aisle,,
A3019CG1,ZZ,Special Aisle,,
A3019CG2,ZZ,Special Aisle,,
A3019CG3,ZZ,Special Aisle,,
A3019CG4,ZZ,Special Aisle,,
A3019CK1,ZZ,Special Aisle,,
A3019CK2,ZZ,Special Aisle,,
A3019CK3,ZZ,Special Aisle,,
A3019CK4,ZZ,Special Aisle,,
A3019CL1,ZZ,Special Aisle,,
A3019CL2,ZZ,Special Aisle,,
A3019CL3,ZZ,Special Aisle,,
A3019CL4,ZZ,Special Aisle,,
A3019CP1,ZZ,Special Aisle,,
A3019CP2,ZZ,Special Aisle,,
A3019CP3,ZZ,Special Aisle,,
A3019CP4,ZZ,Special Aisle,,
A3019CQ1,ZZ,Special Aisle,,
A3019CQ2,ZZ,Special Aisle,,
A3019CQ3,ZZ,Special Aisle,,
A3019CQ4,ZZ,Special Aisle,,
A3019CT1,ZZ,Special Aisle,,
A3019CT2,ZZ,Special Aisle,,
A3019CT3,ZZ,Special Aisle,,
A3019CT4,ZZ,Special Aisle,,
A3019CU1,ZZ,Special Aisle,,
A3019CU2,ZZ,Special Aisle,,
A3019CU3,ZZ,Special Aisle,,
A3019CU4,ZZ,Special Aisle,,
A3019CX1,ZZ,Special Aisle,,
A3019CX2,ZZ,Special Aisle,,
A3019CX3,ZZ,Special Aisle,,
A3019CX4,ZZ,Special Aisle,,
A3019CY1,ZZ,Special Aisle,,
A3019CY2,ZZ,Special Aisle,,
A3019CY3,ZZ,Special Aisle,,
A3019CY4,ZZ,Special Aisle,,
A3019EB1,ZZ,Special Aisle,,
A3019EB2,ZZ,Special Aisle,,
A3019EB3,ZZ,Special Aisle,,
A3019EB4,ZZ,Special Aisle,,
A3019EC1,ZZ,Special Aisle,,
A3019EC2,ZZ,Special Aisle,,
A3019EC3,ZZ,Special Aisle,,
A3019EC4,ZZ,Special Aisle,,
A3019EF1,ZZ,Special Aisle,,
A3019EF2,ZZ,Special Aisle,,
A3019EF3,ZZ,Special Aisle,,
A3019EF4,ZZ,Special Aisle,,
A3019EG1,ZZ,Special Aisle,,
A3019EG2,ZZ,Special Aisle,,
A3019EG3,ZZ,Special Aisle,,
A3019EG4,ZZ,Special Aisle,,
A3019EK1,ZZ,Special Aisle,,
A3019EK2,ZZ,Special Aisle,,
A3019EK3,ZZ,Special Aisle,,
A3019EK4,ZZ,Special Aisle,,
A3019EL1,ZZ,Special Aisle,,
A3019EL2,ZZ,Special Aisle,,
A3019EL3,ZZ,Special Aisle,,
A3019EL4,ZZ,Special Aisle,,
A3019EP1,ZZ,Special Aisle,,
A3019EP2,ZZ,Special Aisle,,
A3019EP3,ZZ,Special Aisle,,
A3019EP4,ZZ,Special Aisle,,
A3019EQ1,ZZ,Special Aisle,,
A3019EQ2,ZZ,Special Aisle,,
A3019EQ3,ZZ,Special Aisle,,
A3019EQ4,ZZ,Special Aisle,,
A3019ET1,ZZ,Special Aisle,,
A3019ET2,ZZ,Special Aisle,,
A3019ET3,ZZ,Special Aisle,,
A3019ET4,ZZ,Special Aisle,,
A3019EU1,ZZ,Special Aisle,,
A3019EU2,ZZ,Special Aisle,,
A3019EU3,ZZ,Special Aisle,,
A3019EU4,ZZ,Special Aisle,,
A3019EX1,ZZ,Special Aisle,,
A3019EX2,ZZ,Special Aisle,,
A3019EX3,ZZ,Special Aisle,,
A3019EX4,ZZ,Special Aisle,,
A3019EY1,ZZ,Special Aisle,,
A3019EY2,ZZ,Special Aisle,,
A3019EY3,ZZ,Special Aisle,,
A3019EY4,ZZ,Special Aisle,,
A3019GB1,ZZ,Special Aisle,,
A3019GB2,ZZ,Special Aisle,,
A3019GB3,ZZ,Special Aisle,,
A3019GB4,ZZ,Special Aisle,,
A3019GC1,ZZ,Special Aisle,,
A3019GC2,ZZ,Special Aisle,,
A3019GC3,ZZ,Special Aisle,,
A3019GC4,ZZ,Special Aisle,,
A3019GF1,ZZ,Special Aisle,,
A3019GF2,ZZ,Special Aisle,,
A3019GF3,ZZ,Special Aisle,,
A3019GF4,ZZ,Special Aisle,,
A3019GG1,ZZ,Special Aisle,,
A3019GG2,ZZ,Special Aisle,,
A3019GG3,ZZ,Special Aisle,,
A3019GG4,ZZ,Special Aisle,,
A3019GK1,ZZ,Special Aisle,,
A3019GK2,ZZ,Special Aisle,,
A3019GK3,ZZ,Special Aisle,,
A3019GK4,ZZ,Special Aisle,,
A3019GL1,ZZ,Special Aisle,,
A3019GL2,ZZ,Special Aisle,,
A3019GL3,ZZ,Special Aisle,,
A3019GL4,ZZ,Special Aisle,,
A3019GP1,ZZ,Special Aisle,,
A3019GP2,ZZ,Special Aisle,,
A3019GP3,ZZ,Special Aisle,,
A3019GP4,ZZ,Special Aisle,,
A3019GQ1,ZZ,Special Aisle,,
A3019GQ2,ZZ,Special Aisle,,
A3019GQ3,ZZ,Special Aisle,,
A3019GQ4,ZZ,Special Aisle,,
A3019GT1,ZZ,Special Aisle,,
A3019GT2,ZZ,Special Aisle,,
A3019GT3,ZZ,Special Aisle,,
A3019GT4,ZZ,Special Aisle,,
A3019GU1,ZZ,Special Aisle,,
A3019GU2,ZZ,Special Aisle,,
A3019GU3,ZZ,Special Aisle,,
A3019GU4,ZZ,Special Aisle,,
A3019GX1,ZZ,Special Aisle,,
A3019GX2,ZZ,Special Aisle,,
A3019GX3,ZZ,Special Aisle,,
A3019GX4,ZZ,Special Aisle,,
A3019GY1,ZZ,Special Aisle,,
A3019GY2,ZZ,Special Aisle,,
A3019GY3,ZZ,Special Aisle,,
A3019GY4,ZZ,Special Aisle,,
A3019JB1,ZZ,Special Aisle,,
A3019JB2,ZZ,Special Aisle,,
A3019JB3,ZZ,Special Aisle,,
A3019JB4,ZZ,Special Aisle,,
A3019JC1,ZZ,Special Aisle,,
A3019JC2,ZZ,Special Aisle,,
A3019JC3,ZZ,Special Aisle,,
A3019JC4,ZZ,Special Aisle,,
A3019JF1,ZZ,Special Aisle,,
A3019JF2,ZZ,Special Aisle,,
A3019JF3,ZZ,Special Aisle,,
A3019JF4,ZZ,Special Aisle,,
A3019JG1,ZZ,Special Aisle,,
A3019JG2,ZZ,Special Aisle,,
A3019JG3,ZZ,Special Aisle,,
A3019JG4,ZZ,Special Aisle,,
A3019JK1,ZZ,Special Aisle,,
A3019JK2,ZZ,Special Aisle,,
A3019JK3,ZZ,Special Aisle,,
A3019JK4,ZZ,Special Aisle,,
A3019JL1,ZZ,Special Aisle,,
A3019JL2,ZZ,Special Aisle,,
A3019JL3,ZZ,Special Aisle,,
A3019JL4,ZZ,Special Aisle,,
A3019JP1,ZZ,Special Aisle,,
A3019JP2,ZZ,Special Aisle,,
A3019JP3,ZZ,Special Aisle,,
A3019JP4,ZZ,Special Aisle,,
A3019JQ1,ZZ,Special Aisle,,
A3019JQ2,ZZ,Special Aisle,,
A3019JQ3,ZZ,Special Aisle,,
A3019JQ4,ZZ,Special Aisle,,
A3019JT1,ZZ,Special Aisle,,
A3019JT2,ZZ,Special Aisle,,
A3019JT3,ZZ,Special Aisle,,
A3019JT4,ZZ,Special Aisle,,
A3019JU1,ZZ,Special Aisle,,
A3019JU2,ZZ,Special Aisle,,
A3019JU3,ZZ,Special Aisle,,
A3019JU4,ZZ,Special Aisle,,
A3019JX1,ZZ,Special Aisle,,
A3019JX2,ZZ,Special Aisle,,
A3019JX3,ZZ,Special Aisle,,
A3019JX4,ZZ,Special Aisle,,
A3019JY1,ZZ,Special Aisle,,
A3019JY2,ZZ,Special Aisle,,
A3019JY3,ZZ,Special Aisle,,
A3019JY4,ZZ,Special Aisle,,
A3019LB1,ZZ,Special Aisle,,
A3019LB2,ZZ,Special Aisle,,
A3019LB3,ZZ,Special Aisle,,
A3019LB4,ZZ,Special Aisle,,
A3019LC1,ZZ,Special Aisle,,
A3019LC2,ZZ,Special Aisle,,
A3019LC3,ZZ,Special Aisle,,
A3019LC4,ZZ,Special Aisle,,
A3019LF1,ZZ,Special Aisle,,
A3019LF2,ZZ,Special Aisle,,
A3019LF3,ZZ,Special Aisle,,
A3019LF4,ZZ,Special Aisle,,
A3019LG1,ZZ,Special Aisle,,
A3019LG2,ZZ,Special Aisle,,
A3019LG3,ZZ,Special Aisle,,
