Sequence,Item Number,Actual Qty,Unavailable Qty,Status,Warehouse,Location Id,Type,Fifo Date,Expiration Date,Reserved For,Lot Number,Inspection Code,Serial Number,Type1,Put Away Location,Owner Id,Pod Status
0,M78X22,28,0,A,335,A3017JS3,I,46045,1,,,,,STORAGE,,,
0,M78X22,16,0,A,335,A3017JX3,I,46045,1,,,,,STORAGE,,,
0,M78X22,28,0,A,335,A3017QE2,I,46057,1,,,,,STORAGE,,,
0,M78X32,105,0,A,335,A3012CA3,I,46057,1,,,,,STORAGE,,,
0,M78X32,105,0,A,335,A3012CA4,I,46057,1,,,,,STORAGE,,,
0,M78X32,105,0,A,335,A3012CX2,I,46057,1,,,,,STORAGE,,,
0,M78X32,105,0,A,335,A3012LC3,I,46057,1,,,,,STORAGE,,,
0,M78X32,35,0,A,335,A3012LJ3,I,46057,1,,,,,STORAGE,,,
0,M78X32,10,0,A,335,A3015FC1,P,46057,1,,,,,STORAGE,,,
0,M78X42,9,0,A,335,A3015JS2,I,46057,1,,,,,STORAGE,,,
0,M78X42,16,0,A,335,A3015JZ6,I,46057,1,,,,,STORAGE,,,
0,M78X42,16,0,A,335,A3015LB4,I,46057,1,,,,,STORAGE,,,
0,M78X42,16,0,A,335,A3015LC1,I,46057,1,,,,,STORAGE,,,
0,M78X42,16,0,A,335,A3015LE1,I,46057,1,,,,,STORAGE,,,
0,M78X42,16,0,A,335,A3015LF6,I,46057,1,,,,,STORAGE,,,
0,M78X42,16,0,A,335,A3015LM6,I,46057,1,,,,,STORAGE,,,
0,M78X42,16,0,A,335,A3015LP3,I,46057,1,,,,,STORAGE,,,
0,M78X42,16,0,A,335,A3015LX4,I,46057,1,,,,,STORAGE,,,
0,M78X42,16,0,A,335,A3015LY4,I,46057,1,,,,,STORAGE,,,
