ITNBR,HOUSE,MOHTQ,WHSLC,ITCLS,QTSYR,B2Z95S,ITDSC,TIHIUNLD,PICKPUT,ITMCLSID,UNITSWIDE,UNITLAYERS,UNITSDEEP,SCOOPQTY,SKIDSIZE,QTYCR,NBSEAT,CRTWIN,CRTLIN,CRTHIN,PRDWIN,PRDHIN,PRDLIN,ITMWEGHT,ITNBR2,OPEN_PO,SCOOP_Weight(KG),WEIGHT_RANGE,PALLETS,Unit_Weight(KG),UNIT_WEIGHT_RANGE,FWP,PRDWIN2,PRDHIN2,PRDLIN2,Unnamed: 36,Unnamed: 37
T845-3,335,1,FA00,ZEOT,0,8.52,RECTANGULAR END TABLE,NO,PALLT,PAL5H,2,3,2,12,1,0,0.0,30.0,27.25,18.0,27.0,26.13,23.88,74.0,T845-3,0,402.789696,I. 800-900,1.0,33.565808,D. 30-40,0x2a,0.6858,0.6637019999999999,0.606552,,
T892-3,335,21,FA00,ZEOT,7,6.05,RECTANGULAR END TABLE,NO,PALLT,PAL5H,2,5,2,20,1,0,0.0,28.75,28.5,12.75,23.88,25.0,21.88,54.0,T892-3,23,489.87936,L. 1000-1100,1.0,24.493968,C. 20-30,0x2a,0.606552,0.635,0.5557519999999999,,
T892-7,335,5,FA00,ZEOT,7,4.94,CHAIR SIDE END TABLE,NO,PALLT,PAL5H,3,4,2,24,1,0,0.0,18.5,26.38,17.5,23.88,25.0,15.75,47.0,T892-7,4,511.651776,M. 1100-1200,1.0,21.318824,C. 20-30,0x2a,0.606552,0.635,0.40004999999999996,,
T892-9,335,29,FA00,ZEOT,10,10.59,LIFT TOP COCKTAIL TABLE,NO,PALLT,PAL5H,2,4,1,8,1,0,0.0,28.25,54.0,12.0,26.0,18.0,47.88,126.0,T892-9,39,457.220736,L. 1000-1100,4.0,57.152592,F. 50-60,0x2a,0.6604,0.4572,1.2161520000000001,,
1200008RP,335,0,S01ST1,UIRP,0,0.0,REPLACEMENT PART KIT,,PALLT,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200008RP,0,0.0,A. 0-100,,0.0,A. 0-10,0x2a,0.0,0.0,0.0,,
1200014RP,335,0,S01ST1,UIRP,0,0.0,REPLACEMENT PART KIT,,PALLT,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200014RP,0,0.0,A. 0-100,,0.0,A. 0-10,0x2a,0.0,0.0,0.0,,
1200020RP,335,0,S01ST1,UIRP,0,0.0,REPLACEMENT PART KIT,,PALLT,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200020RP,0,0.0,A. 0-100,,0.0,A. 0-10,0x2a,0.0,0.0,0.0,,
1200035RP,335,0,S01ST1,UIRP,0,0.0,REPLACEMENT PART KIT,,PALLT,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200035RP,0,0.0,A. 0-100,,0.0,A. 0-10,0x2a,0.0,0.0,0.0,,
1200038RP,335,0,S01ST1,UIRP,0,0.0,REPLACEMENT PART KIT,,PALLT,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200038RP,0,0.0,A. 0-100,,0.0,A. 0-10,0x2a,0.0,0.0,0.0,,
1200046RP,335,0,S01ST1,UIRP,0,0.0,REPLACEMENT PART KIT,,PALLT,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200046RP,0,0.0,A. 0-100,,0.0,A. 0-10,0x2a,0.0,0.0,0.0,,
