ITNBR,HOUSE,MOHTQ,WHSLC,ITCLS,QTSYR,B2Z95S,ITDSC,TIHIUNLD,PICKPUT,ITMCLSID,UNITSWIDE,UNITLAYERS,UNITSDEEP,SCOOPQTY,SKIDSIZE,QTYCR,NBSEAT,CRTWIN,CRTLIN,CRTHIN,PRDWIN,PRDHIN,PRDLIN,ITMWEGHT,ITNBR2,OPEN_PO,SCOOP_Weight(KG),WEIGHT_RANGE,PALLETS,Unit_Weight(KG),UNIT_WEIGHT_RANGE,FWP,PRDWIN2,PRDHIN2,PRDLIN2,Unnamed: 36,Unnamed: 37
T990-00,335,60,FA00,ZEOT,16,18.04,LIFT TOP COCKTAIL TABLE,NO,PALLT,PAL3H,1,3,1,3,4,0,0.0,39.0,39.0,20.5,36.0,18.0,36.0,144.0,T990-00,19,195.951744,E. 400-500,20.0,65.317248,G. 60-70,0x2a,0.9144,0.4572,0.9144,,
T990-3,335,77,FA00,ZEOT,32,7.82,RECTANGULAR END TABLE,NO,PALLT,PAL5H,2,3,2,12,1,0,0.0,27.38,26.5,18.63,24.25,24.0,22.13,62.0,T990-3,40,337.472448,H. 700-800,6.0,28.122704,C. 20-30,0x2a,0.61595,0.6095999999999999,0.562102,,
T996-3,335,96,FA00,ZEOT,5,7.62,RECTANGULAR END TABLE,NO,PALLT,PAL5H,2,3,2,12,1,0,0.0,26.5,26.88,18.5,24.5,24.0,22.13,63.0,T996-3,46,342.915552,H. 700-800,8.0,28.576296,C. 20-30,0x2a,0.6223,0.6095999999999999,0.562102,,
T996-9,335,61,FA00,ZEOT,1,20.47,LIFT TOP COCKTAIL TABLE,NO,PALLT,PAL3H,1,3,1,3,4,0,0.0,31.0,55.0,20.75,28.0,17.88,52.0,159.0,T996-9,37,216.363384,E. 400-500,20.0,72.121128,H. 70-80,0x2a,0.7111999999999999,0.45415199999999994,1.3208,,
B778-81,335,2,FA00,ZNBM,0,25.56,QUEEN UPH HDBD/FTBD/SLATS,NO,PALLT,PAL5H,1,4,1,4,3,0,0.0,54.0,68.88,11.88,9.0,65.75,66.75,147.0,B778-81,13,266.712096,F. 500-600,1.0,66.678024,G. 60-70,0x2a,0.2286,1.67005,1.69545,,
B778-82,335,8,FA00,ZNBM,0,31.17,K/CK UPH HDBD/FTBD/SLATS,NO,PALLT,PAL5H,1,4,1,4,3,0,0.0,54.0,84.88,11.75,9.0,65.75,82.75,177.0,B778-82,34,321.143136,H. 700-800,2.0,80.285784,I. 80-90,0x2a,0.2286,1.67005,2.1018499999999998,,
B778-92,335,39,FA00,ZNBM,6,10.62,TWO DRAWER NIGHT STAND,NO,PALLT,PAL5H,2,2,2,8,1,0,0.0,22.63,29.5,27.5,19.0,26.75,26.0,70.0,B778-92,34,254.01152,F. 500-600,5.0,31.75144,D. 30-40,0x2a,0.4826,0.67945,0.6604,,
B778-96,335,10,FA00,ZNBM,0,3.69,QUEEN/KING UPH RAILS,NO,PALLT,RAILS,4,4,1,16,3,0,0.0,12.0,88.5,6.0,84.75,13.0,80.0,47.0,B778-96,31,341.101184,H. 700-800,1.0,21.318824,C. 20-30,0x2a,2.15265,0.3302,2.032,,
B924-31,335,20,FA00,ZSBM,20,46.78,DRESSER,NO,PALLT,FLOOR,1,2,3,6,3,0,0.0,25.75,73.0,43.0,21.88,42.0,69.38,315.0,B924-31,40,857.28888,T. 1800-1900,3.0,142.88148,P. 140-150,0x2a,0.5557519999999999,1.0668,1.7622519999999997,,
B924-36,335,19,FA00,ZSBM,20,4.78,BEDROOM MIRROR,NO,PALLT,PAL3H,1,10,1,10,4,0,0.0,36.5,50.25,4.5,1.75,31.88,46.0,45.0,B924-36,25,204.1164,E. 400-500,2.0,20.41164,C. 20-30,0x2a,0.044449999999999996,0.8097519999999999,1.1683999999999999,,
B924-46,335,11,FA00,ZSBM,17,37.67,FIVE DRAWER CHEST,NO,PALLT,FLOOROP,1,1,3,6,3,0,0.0,24.25,45.5,59.0,20.63,58.0,42.0,245.0,B924-46,23,666.78024,P. 1400-1500,2.0,111.13004,M. 110-120,0x2a,0.524002,1.4731999999999998,1.0668,,
B924-54,335,4,FA00,ZSBM,0,12.17,QUEEN SLEIGH FOOTBOARD W/RAILS,NO,PALLT,PAL5H,2,6,1,12,3,0,0.0,26.5,84.63,9.38,83.88,26.25,64.5,98.0,B924-54,1,533.424192,M. 1100-1200,1.0,44.452016,E. 40-50,0x2a,2.130552,0.66675,1.6382999999999999,,
B924-56,335,11,FA00,ZSBM,13,12.65,KING SLEIGH FOOTBOARD W/RAILS,NO,PALLT,PAL5H,2,6,1,12,3,0,0.0,26.75,84.88,9.63,83.88,26.25,80.5,108.0,B924-56,18,587.855232,N. 1200-1300,1.0,48.987936,E. 40-50,0x2a,2.130552,0.66675,2.0446999999999997,,
B924-57,335,4,FA00,ZSBM,0,21.17,QUEEN PANEL HEADBOARD,NO,PALLT,PAL5H,1,5,1,5,3,0,0.0,51.88,73.25,9.63,7.0,62.0,69.5,96.0,B924-57,1,217.72416,E. 400-500,1.0,43.544832,E. 40-50,0x2a,0.17779999999999999,1.5748,1.7652999999999999,,
B924-58,335,11,FA00,ZSBM,13,26.19,KING/CAL KING PANEL HEADBOARD,NO,PALLT,PAL5H,1,6,1,6,3,0,0.0,52.0,89.25,9.75,7.0,62.0,85.5,113.0,B924-58,18,307.535376,G. 600-700,2.0,51.255896,F. 50-60,0x2a,0.17779999999999999,1.5748,2.1717,,
B924-93,335,33,FA00,ZSBM,10,12.58,THREE DRAWER NIGHT STAND,NO,PALLT,PAL5H,2,2,2,8,1,0,0.0,24.75,31.5,27.88,20.63,26.5,28.0,101.0,B924-93,52,366.502336,I. 800-900,4.0,45.812792,E. 40-50,0x2a,0.524002,0.6730999999999999,0.7111999999999999,,
B924-95,335,0,FA00,ZSBM,0,13.5,CK SLEIGH FOOTBOARD W/RAILS,,PALLT,,0,0,0,0,0,0,0.0,26.5,88.0,10.0,87.88,26.25,80.5,115.15,B924-95,0,0.0,A. 0-100,,52.2311188,F. 50-60,0x2a,2.2321519999999997,0.66675,2.0446999999999997,,
B974-31,335,76,FA00,ZSBM,8,46.66,DRESSER,NO,PALLT,FLOOR,1,2,3,6,3,0,0.0,24.0,75.5,44.5,20.0,39.75,72.0,276.0,B974-31,0,751.148352,R. 1600-1700,13.0,125.191392,N. 120-130,0x2a,0.508,1.00965,1.8288,,
B974-36,335,7,FA00,ZSBM,4,5.89,BEDROOM MIRROR,NO,PALLT,PAL3H,1,10,1,10,4,0,0.0,38.88,53.75,4.88,2.0,34.13,50.0,58.0,B974-36,0,263.08336,F. 500-600,1.0,26.308336,C. 20-30,A3017JD1,0.0508,0.8669020000000001,1.27,,
B974-46,335,37,FA00,ZSBM,5,40.76,FIVE DRAWER CHEST,NO,PALLT,FLOOROP,1,2,3,6,3,0,0.0,24.0,45.5,64.5,20.0,60.0,42.0,256.0,B974-46,0,696.717312,Q. 1500-1600,6.0,116.119552,M. 110-120,0x2a,0.508,1.524,1.0668,,
B974-50,335,55,FA00,ZSBM,9,23.27,Q/K/CK STORAGE DRAWERS (4/CN),NO,PALLT,PAL5H,2,2,1,4,1,0,0.0,28.0,58.63,24.5,21.25,11.0,53.38,148.0,B974-50,0,268.526464,F. 500-600,14.0,67.131616,G. 60-70,A3013LJ1,0.53975,0.2794,1.355852,,
B974-54,335,38,FA00,ZSBM,1,5.8,QUEEN PANEL FTBD W/ROLL SLATS,NO,PALLT,PAL5H,2,6,1,12,3,0,0.0,22.38,68.88,6.5,2.75,19.38,65.38,70.0,B974-54,0,381.01728,I. 800-900,3.0,31.75144,D. 30-40,A3011CH1,0.06985,0.49225199999999997,1.6606519999999998,,
B974-56,335,3,FA00,ZSBM,1,7.3,K/CK PANEL FTBD W/ROLL SLATS,NO,PALLT,PAL5H,2,6,1,12,3,0,0.0,22.88,84.88,6.5,2.75,19.38,81.38,92.0,B974-56,0,500.765568,M. 1100-1200,1.0,41.730464,E. 40-50,A3013GW1,0.06985,0.49225199999999997,2.067052,,
B974-57,335,38,FA00,ZSBM,1,10.34,QUEEN PANEL HEADBOARD,NO,PALLT,PAL5H,1,8,1,8,3,0,0.0,47.25,68.75,5.5,2.75,63.38,65.38,121.0,B974-57,0,439.077056,K. 900-1000,5.0,54.884632,F. 50-60,A3015HR1,0.06985,1.609852,1.6606519999999998,,
B974-58,335,3,FA00,ZSBM,1,12.64,KING/CAL KING PANEL HEADBOARD,NO,PALLT,PAL5H,1,7,1,7,3,0,0.0,47.0,84.5,5.5,2.75,63.38,81.38,146.0,B974-58,0,463.571024,L. 1000-1100,1.0,66.224432,G. 60-70,A3013DZ1,0.06985,1.609852,2.067052,,
B974-74,335,33,FA00,ZSBM,3,11.98,QUEEN UPH FOOTBOARD WITH RAILS,NO,PALLT,PAL5H,4,3,1,12,3,0,0.0,13.75,84.25,17.88,90.75,14.75,67.75,88.0,B974-74,3,478.993152,L. 1000-1100,3.0,39.916096,D. 30-40,A3013KD1,2.30505,0.37465,1.72085,,
B974-76,335,107,FA00,ZSBM,36,12.09,KING UPH FOOTBOARD WITH RAILS,NO,PALLT,PAL5H,4,3,1,12,3,0,0.0,13.5,85.38,18.13,90.75,14.75,83.75,94.0,B974-76,2,511.651776,M. 1100-1200,9.0,42.637648,E. 40-50,A3013HL1,2.30505,0.37465,2.12725,,
B974-77,335,38,FA00,ZSBM,3,20.53,QUEEN UPHOLSTERED HEADBOARD,NO,PALLT,PAL5H,1,5,1,5,3,0,0.0,50.5,71.13,9.88,7.5,50.0,68.75,166.0,B974-77,1,376.48136,I. 800-900,8.0,75.296272,H. 70-80,A3012CC1,0.1905,1.27,1.7462499999999999,,
B974-78,335,112,FA00,ZSBM,36,23.64,KING/CAL KING UPH HEADBOARD,NO,PALLT,PAL5H,1,5,1,5,3,0,0.0,50.38,86.5,9.38,7.5,50.0,84.75,196.0,B974-78,0,444.52016,K. 900-1000,22.0,88.904032,I. 80-90,A3012KL1,0.1905,1.27,2.15265,,
B974-92,335,118,FA00,ZSBM,1,12.91,TWO DRAWER NIGHT STAND,NO,PALLT,PAL5H,2,2,2,6,1,0,0.0,22.13,32.13,31.38,18.88,26.88,29.13,93.0,B974-92,0,253.104336,F. 500-600,20.0,42.184056,E. 40-50,A3012JB1,0.479552,0.6827519999999999,0.739902,,
B974-97S,335,31,FA00,ZSBM,9,5.93,QUEEN/KING STORAGE RAILS,NO,PALLT,RAILS,3,4,1,12,3,0,0.0,15.38,87.38,7.63,80.63,18.75,80.38,52.0,B974-97S,0,283.041408,G. 600-700,3.0,23.586784,C. 20-30,A3010ET1,2.048002,0.47625,2.041652,,
B980-31,335,44,FA00,ZSBM,10,45.99,DRESSER,NO,PALLT,FLOOR,1,2,3,6,3,0,0.0,24.75,76.0,42.25,21.13,37.63,72.13,280.0,B980-31,20,762.03456,R. 1600-1700,7.0,127.00576,N. 120-130,0x2a,0.5367019999999999,0.955802,1.832102,,
B980-36,335,30,FA00,ZSBM,10,5.67,BEDROOM MIRROR,NO,PALLT,PAL3H,1,10,1,10,4,0,0.0,42.25,51.5,4.5,1.88,38.88,48.0,53.0,B980-36,13,240.40376,F. 500-600,3.0,24.040376,C. 20-30,0x2a,0.047751999999999996,0.987552,1.2191999999999998,,
B980-46,335,12,FA00,ZSBM,10,40.12,FIVE DRAWER CHEST,NO,PALLT,FLOOROP,1,2,3,6,3,0,0.0,25.0,47.0,59.0,21.0,55.5,43.13,238.0,B980-46,12,647.729376,P. 1400-1500,2.0,107.954896,L. 100-110,0x2a,0.5334,1.4097,1.095502,,
B980-54,335,5,FA00,ZSBM,0,8.68,QUEEN UPH PANEL FTBD W/SLATS,NO,PALLT,PAL5H,2,10,1,20,3,0,0.0,29.38,71.63,7.13,4.5,26.0,66.5,79.0,B980-54,10,716.67536,Q. 1500-1600,1.0,35.833768,D. 30-40,0x2a,0.1143,0.6604,1.6890999999999998,,
B980-56,335,24,FA00,ZSBM,3,10.23,K/CK UPH PANEL FTBD W/SLATS,NO,PALLT,PAL5H,2,5,1,10,3,0,0.0,29.38,87.5,6.88,4.5,26.0,82.5,96.0,B980-56,17,435.44832,K. 900-1000,2.0,43.544832,E. 40-50,0x2a,0.1143,0.6604,2.0955,,
B980-57,335,5,FA00,ZSBM,2,17.92,QUEEN UPH PANEL HEADBOARD,NO,PALLT,PAL5H,2,10,1,20,3,0,0.0,56.0,72.5,7.63,7.88,71.0,68.0,118.0,B980-57,11,1070.47712,W. Over 2100,1.0,53.523856,F. 50-60,A3015FJ1,0.200152,1.8034,1.7271999999999998,,
B980-58,335,24,FA00,ZSBM,3,21.07,KING/CAL KING UPH PANEL HDBD,NO,PALLT,PAL5H,1,7,1,7,3,0,0.0,55.88,88.38,7.38,7.88,71.0,84.0,145.0,B980-58,18,460.39588,L. 1000-1100,3.0,65.77084,G. 60-70,0x2a,0.200152,1.8034,2.1336,,
B980-93,335,68,FA00,ZSBM,6,18.18,THREE DRAWER NIGHT STAND,NO,PALLT,PAL5H,2,2,2,6,1,0,0.0,25.13,36.5,34.25,21.0,29.5,33.0,127.0,B980-93,50,345.637104,H. 700-800,11.0,57.606184,F. 50-60,A3012JD1,0.5334,0.7493,0.8382,,
B980-97,335,33,FA00,ZSBM,3,2.56,QUEEN/KING PANEL RAILS,NO,PALLT,RAILS,6,5,1,30,3,0,0.0,10.0,90.63,4.88,82.63,14.0,78.38,36.0,B980-97,29,489.87936,L. 1000-1100,1.0,16.329312,B. 10-20,A3010LQ1,2.0988019999999996,0.35559999999999997,1.9908519999999998,,
D388-423,335,20,FA00,ZEDF,20,19.8,RECT DRM COUNTER TBL SET(7/CN),NO,PALLT,PAL3H,1,4,1,4,5,0,0.0,39.75,63.75,13.5,36.0,36.0,60.0,219.0,D388-423,1,397.346592,I. 800-900,5.0,99.336648,K. 90-100,A3017RJ1,0.9144,0.9144,1.524,,
D924-00,335,11,FA00,ZSDF,1,5.74,LARGE UPH DINING ROOM BENCH,NO,PALLT,PAL5H,3,5,1,15,3,0,0.0,19.38,66.0,7.75,16.25,19.38,63.13,47.0,D924-00,15,319.78236,H. 700-800,1.0,21.318824,C. 20-30,0x2a,0.41275,0.49225199999999997,1.603502,,
D924-01,335,208,FA00,ZSDF,28,4.49,DINING UPH SIDE CHAIR (2/CN),NO,PALLT,PAL5H,3,4,1,22,1,2,0.0,22.5,42.75,16.13,24.13,40.75,20.25,27.5,D924-01,376,274.42316,G. 600-700,9.0,12.47378,B. 10-20,0x2a,0.612902,1.03505,0.51435,,
D924-55B,335,18,FA00,ZSDF,4,6.26,RECT DINING ROOM TABLE BASE,NO,PALLT,PAL5H,4,3,1,12,1,0,0.0,11.63,47.75,19.5,29.38,26.0,57.13,63.0,D924-55B,67,342.915552,H. 700-800,2.0,28.576296,C. 20-30,0x2a,0.7462519999999999,0.6604,1.4511020000000001,,
D924-55T,335,18,FA00,ZSDF,4,15.22,RECT DRM EXTENSION TABLE TOP,NO,PALLT,PAL3H,1,5,1,5,5,0,0.0,45.0,80.63,7.25,95.75,4.25,40.13,157.0,D924-55T,67,356.06972,H. 700-800,4.0,71.213944,H. 70-80,0x2a,2.43205,0.10794999999999999,1.019302,,
D924-60,335,12,FA00,ZSDF,1,27.21,DINING ROOM SERVER,NO,PALLT,FLOOR,1,2,3,6,3,0,0.0,20.38,63.0,36.63,17.25,36.0,59.88,194.0,D924-60,35,527.981088,M. 1100-1200,2.0,87.996848,I. 80-90,0x2a,0.43815,0.9144,1.520952,,
D974-00,335,72,FA00,ZSDF,23,6.59,LARGE UPH DINING ROOM BENCH,NO,PALLT,PAL5H,3,5,1,15,3,0,0.0,19.38,66.25,8.88,16.5,19.75,63.5,56.0,D974-00,87,381.01728,I. 800-900,5.0,25.401152,C. 20-30,A3012HN1,0.4191,0.5016499999999999,1.6129,,
D974-01,335,598,FA00,ZSDF,246,3.78,DINING UPH SIDE CHAIR (2/CN),NO,PALLT,PAL5H,4,3,2,30,1,2,0.0,14.25,42.38,21.63,25.38,39.63,20.5,24.0,D974-01,578,326.58624,H. 700-800,20.0,10.886208,B. 10-20,A3011LJ1,0.644652,1.006602,0.5206999999999999,,
D974-35,335,98,FA00,ZSDF,38,18.29,RECT DINING ROOM EXT TABLE,NO,PALLT,PAL5H,1,5,1,5,3,0,0.0,49.75,87.63,7.25,108.0,30.0,46.0,241.0,D974-35,101,546.57836,N. 1200-1300,20.0,109.315672,L. 100-110,A3011DN1,2.7432,0.762,1.1683999999999999,,
D980-01,335,520,FA00,ZSDF,74,5.17,DINING UPH SIDE CHAIR (2/CN),NO,PALLT,PAL5H,3,3,2,24,1,2,0.0,17.75,46.0,21.88,24.88,43.25,21.5,28.0,D980-01,380,304.813824,G. 600-700,22.0,12.700576,B. 10-20,0x2a,0.631952,1.09855,0.5461,,
D980-55B,335,61,FA00,ZSDF,11,10.41,RECT DINING ROOM TABLE BASE,NO,PALLT,PAL3H,1,3,2,6,5,0,0.0,29.38,34.5,17.75,31.5,26.25,58.25,96.0,D980-55B,43,261.268992,F. 500-600,10.0,43.544832,E. 40-50,0x2a,0.8000999999999999,0.66675,1.47955,,
D980-55T,335,29,FA00,ZSDF,8,17.27,RECT DRM EXTENSION TABLE TOP,NO,PALLT,PAL5H,1,5,1,5,3,0,0.0,47.0,78.13,8.13,108.25,3.5,44.0,182.0,D980-55T,79,412.76872,K. 900-1000,6.0,82.553744,I. 80-90,0x2a,2.7495499999999997,0.08889999999999999,1.1176,,
D980-60,335,6,FA00,ZSDF,10,39.57,DINING ROOM SERVER,NO,PALLT,FLOOR,1,2,3,6,3,0,0.0,22.88,70.75,42.25,19.0,38.0,67.0,239.0,D980-60,51,650.450928,P. 1400-1500,1.0,108.408488,L. 100-110,0x2a,0.4826,0.9652,1.7018,,
T310-117,335,63,FA00,ZEOT,0,4.4,CHAIR SIDE END TABLE,NO,PALLT,PAL5H,2,5,2,20,1,0,0.0,25.38,27.25,11.0,24.5,24.0,15.88,37.0,T310-117,0,335.65808,H. 700-800,3.0,16.782904,B. 10-20,0x2a,0.6223,0.6095999999999999,0.403352,,
T310-217,335,43,FA00,ZEOT,2,4.4,CHAIR SIDE END TABLE,NO,PALLT,PAL5H,2,5,2,20,1,0,0.0,25.38,27.25,11.0,24.5,24.0,15.88,37.0,T310-217,4,335.65808,H. 700-800,2.0,16.782904,B. 10-20,0x2a,0.6223,0.6095999999999999,0.403352,,
T310-317,335,58,FA00,ZEOT,0,4.4,CHAIR SIDE END TABLE,NO,PALLT,PAL5H,2,5,2,20,1,0,0.0,25.38,27.25,11.0,24.5,24.0,15.88,37.0,T310-317,4,335.65808,H. 700-800,3.0,16.782904,B. 10-20,0x2a,0.6223,0.6095999999999999,0.403352,,
T310-417,335,48,FA00,ZEOT,2,4.4,CHAIR SIDE END TABLE,NO,PALLT,PAL5H,2,5,2,20,1,0,0.0,25.38,27.25,11.0,24.5,24.0,15.88,37.0,T310-417,4,335.65808,H. 700-800,2.0,16.782904,B. 10-20,0x2a,0.6223,0.6095999999999999,0.403352,,
T400-13,335,115,FA00,ZEOT,4,10.26,OCCASIONAL TABLE SET (3/CN),NO,PALLT,PAL5H,2,4,1,8,1,0,0.0,28.25,51.75,12.13,23.75,18.13,48.0,139.0,T400-13,50,504.394304,M. 1100-1200,14.0,63.049288,G. 60-70,A3013DS1,0.60325,0.46050199999999997,1.2191999999999998,,
T402-13,335,79,FA00,ZEOT,34,12.25,OCCASIONAL TABLE SET (3/CN),NO,PALLT,PAL5H,2,4,1,8,1,0,0.0,27.5,51.75,14.88,23.63,19.63,47.38,140.0,T402-13,117,508.02304,M. 1100-1200,10.0,63.50288,G. 60-70,A3016DS1,0.6002019999999999,0.49860199999999993,1.203452,,
T404-13,335,46,FA00,ZVTC,8,7.22,OCCASIONAL TABLE SET (3/CN),NO,PALLT,PAL5H,2,5,1,10,1,0,0.0,27.63,50.88,8.88,23.63,19.38,47.25,94.0,T404-13,108,426.37648,K. 900-1000,5.0,42.637648,E. 40-50,0x2a,0.6002019999999999,0.49225199999999997,1.20015,,
T458-6,335,32,FA00,ZVTC,30,2.63,ROUND END TABLE,NO,PALLT,PAL5H,2,10,2,40,1,0,0.0,27.5,27.5,6.0,24.0,23.13,24.0,38.0,T458-6,2,689.45984,Q. 1500-1600,1.0,17.236496,B. 10-20,0x2a,0.6095999999999999,0.587502,0.6095999999999999,,
T458-8,335,15,FA00,ZVTC,15,6.23,OCTAGON COCKTAIL TABLE,NO,PALLT,PAL3H,1,8,1,8,4,0,0.0,43.75,43.75,5.63,43.25,17.13,43.25,72.0,T458-8,1,261.268992,F. 500-600,2.0,32.658624,D. 30-40,0x2a,1.09855,0.43510199999999993,1.09855,,
T461-2,335,51,FA00,ZVTC,38,3.8,SQUARE END TABLE,NO,PALLT,PAL5H,2,6,2,24,1,0,0.0,28.0,28.0,8.38,23.63,23.63,23.63,42.0,T461-2,35,457.220736,L. 1000-1100,2.0,19.050864,B. 10-20,0x2a,0.6002019999999999,0.6002019999999999,0.6002019999999999,,
T461-8,335,82,FA00,ZVTC,23,8.25,SQUARE COCKTAIL TABLE,NO,PALLT,PAL5H,1,10,1,10,1,0,0.0,47.75,47.75,6.25,42.0,18.0,42.0,81.0,T461-8,1,367.40952,I. 800-900,8.0,36.740952,D. 30-40,0x2a,1.0668,0.4572,1.0668,,
T747-1,335,41,FA00,ZVTC,15,12.36,RECTANGULAR COCKTAIL TABLE,NO,PALLT,PAL5H,1,6,1,6,1,0,0.0,43.5,57.75,8.5,40.0,17.75,54.0,116.0,T747-1,57,315.700032,G. 600-700,7.0,52.616672,F. 50-60,A3014GZ1,1.016,0.45085,1.3716,,
T747-3,335,62,FA00,ZVTC,29,4.91,RECTANGULAR END TABLE,NO,PALLT,PAL5H,2,5,2,20,1,0,0.0,27.5,30.5,10.13,23.88,24.0,27.0,55.0,T747-3,78,498.9512,M. 1100-1200,3.0,24.94756,C. 20-30,A3014GY1,0.606552,0.6095999999999999,0.6858,,
T747-4,335,4,FA00,ZVTC,2,7.69,SOFA TABLE,NO,PALLT,PAL5H,2,8,1,16,3,0,0.0,30.0,63.25,7.0,18.0,31.75,60.0,81.0,T747-4,42,587.855232,N. 1200-1300,1.0,36.740952,D. 30-40,0x2a,0.4572,0.80645,1.524,,
T924-1,335,37,FA00,ZVTC,3,18.38,RECTANGULAR COCKTAIL TABLE,NO,PALLT,PAL5H,2,3,1,6,1,0,0.0,31.13,53.0,19.25,28.0,19.13,50.0,117.0,T924-1,15,318.421584,H. 700-800,6.0,53.070264,F. 50-60,0x2a,0.7111999999999999,0.48590199999999995,1.27,,
T924-3,335,64,FA00,ZVTC,1,11.56,RECTANGULAR END TABLE,NO,PALLT,PAL5H,2,2,2,8,1,0,0.0,27.13,28.88,25.5,26.25,25.25,22.13,73.0,T924-3,3,264.897728,F. 500-600,8.0,33.112216,D. 30-40,0x2a,0.66675,0.64135,0.562102,,
T974-1,335,26,FA00,ZVTC,15,8.83,RECTANGULAR COCKTAIL TABLE,NO,PALLT,PAL3H,1,6,1,6,4,0,0.0,36.25,60.13,7.0,30.0,17.0,56.13,89.0,T974-1,89,242.218128,F. 500-600,4.0,40.369688,E. 40-50,A3013JW1,0.762,0.43179999999999996,1.425702,,
T974-2,335,53,FA00,ZVTC,73,6.96,SQUARE END TABLE,NO,PALLT,PAL5H,2,4,2,16,1,0,0.0,28.88,30.88,13.5,24.25,24.5,24.25,69.0,T974-2,109,500.765568,M. 1100-1200,3.0,31.297848,D. 30-40,A3011MK1,0.61595,0.6223,0.61595,,
T974-4,335,27,FA00,ZVTC,16,10.46,SOFA TABLE,NO,PALLT,PAL3H,2,5,1,10,5,0,0.0,24.5,70.25,10.5,17.25,28.5,65.25,95.0,T974-4,51,430.9124,K. 900-1000,3.0,43.09124,E. 40-50,A3011GV1,0.43815,0.7239,1.6573499999999999,,
W402-68,335,15,FA00,ZECD,27,20.64,XL TV STAND W/FIREPLACE OPTION,NO,PALLT,PAL3H,1,4,1,4,5,0,0.0,33.75,86.25,12.25,19.88,33.0,83.38,220.0,W402-68,13,399.16096,I. 800-900,4.0,99.79024,K. 90-100,A3010CX1,0.504952,0.8382,2.1178519999999996,,
W738-78,335,32,FA00,ZECD,20,15.37,EXTRA LARGE TV STAND,NO,PALLT,PAL3H,1,4,1,4,5,0,0.0,38.0,88.75,7.88,18.0,32.63,85.0,190.0,W738-78,67,344.72992,H. 700-800,8.0,86.18248,I. 80-90,0x2a,0.4572,0.828802,2.159,,
W738-78H,335,2,FA00,ZECD,3,18.31,TV STAND HUTCH,NO,PALLT,PAL5H,3,2,1,6,3,0,0.0,15.63,100.0,20.25,12.0,51.0,85.0,131.0,W738-78H,13,356.523312,H. 700-800,1.0,59.420552,F. 50-60,0x2a,0.30479999999999996,1.2953999999999999,2.159,,
B768-57,335,0,FA00,ZNBM,0,10.46,QUEEN PANEL HEADBOARD,NO,PALLT,PAL5H,1,8,1,8,3,0,0.0,49.0,82.0,4.5,2.38,54.0,79.0,114.0,B768-57,13,413.675904,K. 900-1000,1.0,51.709488,F. 50-60,0x2a,0.06045199999999999,1.3716,2.0065999999999997,,
B768-58,335,14,FA00,ZNBM,0,12.12,KING/CAL KING PANEL HEADBOARD,NO,PALLT,PAL5H,1,8,1,8,3,0,0.0,47.75,97.5,4.5,2.38,54.0,95.0,129.0,B768-58,24,468.106944,L. 1000-1100,2.0,58.513368,F. 50-60,0x2a,0.06045199999999999,1.3716,2.413,,
B768-92,335,40,FA00,ZNBM,0,12.34,TWO DRAWER NIGHT STAND,NO,PALLT,PAL5H,2,2,2,8,1,0,0.0,21.75,31.25,31.38,17.75,26.75,27.5,61.0,B768-92,38,221.352896,E. 400-500,5.0,27.669112,C. 20-30,0x2a,0.45085,0.67945,0.6985,,
B971-154,335,6,FA00,ZNBM,0,7.21,QUEEN PANEL FOOTBOARD W/SLATS,NO,PALLT,PAL5H,2,8,1,16,3,0,0.0,31.25,67.88,5.88,3.38,27.0,64.38,58.0,B971-154,15,420.933376,K. 900-1000,1.0,26.308336,C. 20-30,0x2a,0.085852,0.6858,1.635252,,
B971-156,335,12,FA00,ZNBM,4,7.83,K/CK PANEL FOOTBOARD W/SLATS,NO,PALLT,PAL5H,2,6,1,12,3,0,0.0,30.63,72.13,6.13,3.38,27.0,80.25,66.0,B971-156,10,359.244864,H. 700-800,1.0,29.937072,C. 20-30,0x2a,0.085852,0.6858,2.03835,,
B971-157,335,22,FA00,ZNBM,3,11.55,QUEEN PANEL HEADBOARD,NO,PALLT,PAL5H,1,8,1,8,3,0,0.0,49.38,67.38,6.0,4.38,64.0,63.75,87.0,B971-157,15,315.700032,G. 600-700,3.0,39.462504,D. 30-40,0x2a,0.11125199999999999,1.6256,1.6192499999999999,,
B971-158,335,13,FA00,ZNBM,4,14.42,KING/CAL KING PANEL HEADBOARD,NO,PALLT,PAL5H,1,8,1,8,3,0,0.0,49.75,83.5,6.0,4.38,64.0,79.63,106.0,B971-158,11,384.646016,I. 800-900,2.0,48.080752,E. 40-50,0x2a,0.11125199999999999,1.6256,2.022602,,
B971-197,335,22,FA00,ZNBM,3,2.81,QUEEN/KING PANEL RAILS,NO,PALLT,RAILS,5,5,1,25,3,0,0.0,10.38,89.25,5.25,82.25,7.75,78.38,36.0,B971-197,18,408.2328,K. 900-1000,1.0,16.329312,B. 10-20,0x2a,2.08915,0.19685,1.9908519999999998,,
B971-31,335,23,FA00,ZNBM,11,37.89,DRESSER,NO,PALLT,FLOOR,1,2,3,6,3,0,0.0,24.0,69.5,39.25,21.0,39.0,66.63,265.0,B971-31,36,721.21128,Q. 1500-1600,4.0,120.20188,N. 120-130,0x2a,0.5334,0.9905999999999999,1.6924019999999997,,
