Warehouse,Location,Loc_Type,Item,Replen Level,Replen Qty,Uom,Capacity Qty,Pick Put Id,Class Id,Fwd Qty,Current Utilized,Notfwd Qty,Potential Utilized,Pallet Type,Pick Trans Qty,TripQty,CO_Qty,Disabled,STO
335,A3012EW1,P,D618-124,72,36,CN,108,PALLT,PAL5H,78,0.7222,58,1.2593,5 x 7 ORANGE,78,50,152,Active,78
335,A3017MQ1,P,D618-13,0,8,EA,8,PALLT,PAL3H,6,0.75,15,2.625,3.5 X 7  PAL3D,10,9,26,Active,6
335,A3014GD1,P,D618-324,0,16,CN,16,PALLT,PAL5H,2,0.125,0,0.125,5 x 5 wood pallet,4,42,118,Active,2
335,A3013LB1,P,D618-35,14,7,EA,21,PALLT,PAL3H,18,0.8571,0,0.8571,3.5 X 7  PAL3D,75,136,161,Active,18
335,A3016EL1,P,D619-01,0,32,CN,32,PALLT,PAL5H,30,0.9375,90,3.75,5 x 5 wood pallet,56,60,136,Active,30
335,A3016DP1,P,D622-01,0,12,CN,12,PALLT,PAL5H,8,0.6667,44,4.3333,5 x 5 wood pallet,56,0,204,Active,8
335,A3015FD1,P,D622-35,0,6,EA,6,PALLT,PAL5H,1,0.1667,0,0.1667,5 x 7 ORANGE,16,0,33,Active,1
335,A3011MG1,P,D631-00,60,30,EA,90,PALLT,PAL5H,68,0.7556,30,1.0889,5 x 5 wood pallet,227,347,601,Active,68
335,A3011LN1,P,D631-01,96,32,CN,128,PALLT,PAL5H,98,0.7656,32,1.0156,5 x 5 wood pallet,956,222,2148,Active,98
335,A3012FM1,P,D631-09,60,30,EA,90,PALLT,PAL5H,37,0.4111,30,0.7444,5 x 5 wood pallet,351,99,227,Active,65
335,A3011JE1,P,D631-124,96,32,CN,128,PALLT,PAL5H,110,0.8594,320,3.3594,5 x 5 wood pallet,720,496,1808,Active,110
335,A3011KX1,P,D631-32,6,6,EA,12,PALLT,PAL3H,10,0.8333,132,11.8333,3.5 X 7  PAL3D,114,105,313,Active,10
335,A3013DJ1,P,D631-45,6,6,EA,12,PALLT,PAL3H,7,0.5833,138,12.0833,3.5 X 7  PAL3D,174,128,422,Active,7
335,A3013JS1,P,D634-00,90,30,EA,120,PALLT,PAL5H,103,0.8583,0,0.8583,5 x 5 wood pallet,282,116,320,Active,103
335,A3011HV1,P,D634-01,64,32,CN,96,PALLT,PAL5H,74,0.7708,558,6.5833,5 x 5 wood pallet,1276,512,1756,Active,74
335,A3014MD1,P,D634-124,0,36,CN,36,PALLT,PAL5H,28,0.7778,0,0.7778,5 x 5 wood pallet,54,16,40,Active,28
335,A3012ME1,P,D634-35,7,7,EA,14,PALLT,PAL3H,13,0.9286,126,9.9286,3.5 X 7  PAL3D,291,107,428,Active,13
335,A3014JB1,P,D642-00,0,30,EA,30,PALLT,PAL5H,19,0.6333,0,0.6333,5 x 5 wood pallet,143,16,352,Active,19
335,A3013MD1,P,D642-01,64,32,CN,96,PALLT,PAL5H,86,0.8958,160,2.5625,5 x 5 wood pallet,788,232,2564,Active,86
335,A3014ET1,P,D642-09,0,30,EA,30,PALLT,PAL5H,12,0.4,30,1.4,5 x 5 wood pallet,337,71,587,Active,12
335,A3016LN1,P,D642-124,0,32,CN,32,PALLT,PAL5H,14,0.4375,992,31.4375,5 x 5 wood pallet,1162,482,3012,Active,14
335,A3016ET1,P,D642-224,0,24,CN,24,PALLT,PAL5H,12,0.5,0,0.5,5 x 5 wood pallet,50,14,250,Active,12
335,A3013KH1,P,D642-32,5,5,EA,10,PALLT,PAL5H,10,1.0,250,26.0,5 x 7 ORANGE,186,101,535,Active,10
335,A3013MP1,P,D642-45,6,6,EA,12,PALLT,PAL5H,11,0.9167,78,7.4167,5 x 7 ORANGE,143,40,492,Active,11
335,A3011KT1,P,D647-00,60,30,EA,90,PALLT,PAL5H,14,0.1556,0,0.1556,5 x 5 wood pallet,156,101,190,Active,14
335,A3012HP1,P,D647-01,60,30,CN,90,PALLT,PAL5H,66,0.7333,900,10.7333,5 x 5 wood pallet,902,968,2534,Active,66
335,A3011LL1,P,D647-02,32,16,CN,48,PALLT,PAL3H,42,0.875,64,2.2083,3.5 X 7  PAL3D,346,218,726,Active,42
335,A3016EF1,P,D647-024,0,84,CN,84,PALLT,PAL5H,6,0.0714,18,0.2857,5 x 5 wood pallet,76,22,130,Active,6
335,A3011LC1,P,D647-124,90,30,CN,120,PALLT,PAL5H,96,0.8,120,1.8,5 x 5 wood pallet,518,200,874,Active,96
335,A3012KG1,P,D647-25,7,7,EA,14,PALLT,PAL5H,9,0.6429,235,17.4286,5 x 7 ORANGE,120,249,426,Active,9
335,A3017PD1,P,D647-32,0,4,EA,4,PALLT,PAL3H,1,0.25,49,12.5,3.5 X 7  PAL3D,84,45,161,Active,1
335,A3012GT1,P,D647-55B,48,16,EA,64,PALLT,PAL5H,14,0.2188,0,0.2188,5 x 5 wood pallet,42,6,76,Active,14
335,A3013KW1,P,D647-55T,7,7,EA,14,PALLT,PAL5H,8,0.5714,7,1.0714,5 x 7 ORANGE,40,6,77,Active,8
335,A3012GU1,P,D647-76,18,9,EA,27,PALLT,PAL5H,23,0.8519,36,2.1852,5 x 7 ORANGE,60,63,65,Active,23
335,A3011JU1,P,D689-01,96,32,CN,128,PALLT,PAL5H,112,0.875,252,2.8438,5 x 5 wood pallet,154,312,142,Active,112
335,A3012MA1,P,D689-50,8,8,EA,16,PALLT,PAL5H,16,1.0,48,4.0,5 x 7 ORANGE,36,57,30,Active,16
335,A3013HA1,P,D689-60,12,6,EA,18,PALLT,PAL5H,17,0.9444,12,1.6111,5 x 5 wood pallet,25,27,36,Active,17
335,A3016FY1,P,D694-01,0,28,CN,28,PALLT,PAL5H,8,0.2857,28,1.2857,5 x 5 wood pallet,214,16,244,Active,8
335,A3013CZ1,P,D694-02,84,28,CN,112,PALLT,PAL5H,10,0.0893,0,0.0893,5 x 5 wood pallet,164,0,286,Active,10
335,A3014HD1,P,D735-01,0,30,CN,30,PALLT,PAL5H,22,0.7333,90,3.7333,5 x 5 wood pallet,390,112,1420,Active,22
335,A3013HQ1,P,D735-02,56,28,CN,84,PALLT,PAL5H,64,0.7619,0,0.7619,5 x 5 wood pallet,336,78,1080,Active,64
335,A3010GK1,P,D735-35,0,5,EA,5,PALLT,PAL5H,3,0.6,85,17.6,5 X 8 PURPLE,93,30,350,Active,3
335,A3016CD1,P,D736-01,0,30,CN,30,PALLT,PAL5H,4,0.1333,210,7.1333,5 x 5 wood pallet,134,86,654,Active,4
335,A3017LK1,P,D736-02,0,8,CN,8,PALLT,PAL3H,8,1.0,52,7.5,3.5 X 5  PAL3H,94,30,142,Active,8
335,A3016KJ1,P,D736-09,0,30,EA,30,PALLT,PAL5H,4,0.1333,3,0.2333,5 x 5 wood pallet,46,7,149,Active,4
335,A3012LB1,P,D736-124,90,30,CN,120,PALLT,PAL5H,116,0.9667,30,1.2167,5 x 5 wood pallet,282,64,352,Active,116
335,A3017MC1,P,D736-25,0,7,EA,7,PALLT,PAL3H,6,0.8571,77,11.8571,3.5 X 7  PAL3D,58,34,149,Active,6
335,A3017PR1,P,D736-32,0,4,EA,4,PALLT,PAL3H,3,0.75,12,3.75,3.5 X 7  PAL3D,16,12,77,Active,3
335,A3015MC1,P,D736-76,0,9,EA,9,PALLT,PAL5H,1,0.1111,18,2.1111,5 x 7 ORANGE,16,16,49,Active,1
335,A3011JG1,P,D743-01,96,32,CN,128,PALLT,PAL5H,100,0.7813,544,5.0313,5 x 5 wood pallet,708,1126,1402,Active,100
335,A3011LD1,P,D743-02,84,28,CN,112,PALLT,PAL5H,104,0.9286,112,1.9286,5 x 5 wood pallet,478,392,2110,Active,104
335,A3016JM1,P,D743-35,0,7,EA,7,PALLT,PAL5H,1,0.1429,210,30.1429,5 x 5 wood pallet,216,262,443,Active,1
335,A3012MM1,P,D752-00,27,27,EA,54,PALLT,PAL5H,34,0.6296,297,6.1296,5 x 7 ORANGE,205,153,414,Active,34
335,A3012LG1,P,D752-01,72,24,CN,96,PALLT,PAL5H,80,0.8333,72,1.5833,5 x 5 wood pallet,766,324,3078,Active,80
335,A3015DW1,P,D752-124,0,24,CN,24,PALLT,PAL5H,20,0.8333,6,1.0833,5 x 7 ORANGE,28,26,232,Active,20
335,A3011HX1,P,D752-25,7,7,EA,14,PALLT,PAL3H,14,1.0,147,11.5,3.5 X 7  PAL3D,226,81,645,Active,14
335,A3011JN1,P,D764-01,90,30,CN,120,PALLT,PAL5H,120,1.0,30,1.25,5 x 5 wood pallet,54,0,308,Active,120
335,A3013HZ1,P,D769-01,56,28,CN,84,PALLT,PAL5H,60,0.7143,140,2.381,5 x 5 wood pallet,1164,746,5574,Active,60
335,A3012JE1,P,D769-02,84,28,CN,112,PALLT,PAL5H,58,0.5179,0,0.5179,5 x 5 wood pallet,52,60,210,Active,58
335,A3013GS1,P,D769-15,21,7,EA,28,PALLT,PAL5H,16,0.5714,0,0.5714,5 x 5 wood pallet,226,103,655,Active,16
335,A3015HA1,P,D769-35,0,5,EA,5,PALLT,PAL5H,5,1.0,25,6.0,5 x 7 ORANGE,25,14,173,Active,5
335,A3016GP1,P,D769-60,0,9,EA,9,PALLT,PAL5H,3,0.3333,9,1.3333,5 x 5 wood pallet,19,3,58,Active,3
335,A3015FV1,P,D773-09,0,24,EA,24,PALLT,PAL5H,6,0.25,47,2.2083,5 x 7 ORANGE,121,7,136,Active,6
335,A3011KV1,P,D773-124,64,32,CN,96,PALLT,PAL5H,68,0.7083,320,4.0417,5 x 5 wood pallet,428,260,888,Active,68
335,A3012CX1,P,D773-32,10,5,EA,15,PALLT,PAL5H,15,1.0,75,6.0,5 x 7 ORANGE,63,41,153,Active,15
335,A3012LC1,P,D781-01,96,32,CN,128,PALLT,PAL5H,104,0.8125,64,1.3125,5 x 5 wood pallet,100,34,156,Active,104
335,A3010NF1,P,D781-35,0,6,EA,6,PALLT,PAL5H,6,1.0,0,1.0,5 X 8 PURPLE,19,5,24,Active,6
335,A3014KA1,P,D787-01,0,28,CN,28,PALLT,PAL5H,4,0.1429,0,0.1429,5 x 5 wood pallet,144,4,0,Active,4
335,A3012FK1,P,D787-35,5,5,EA,10,PALLT,PAL5H,7,0.7,10,1.7,5 x 7 ORANGE,22,4,8,Active,7
335,A3011KQ1,P,D794-02,32,32,CN,64,PALLT,PAL5H,52,0.8125,2504,39.9375,5 x 7 ORANGE,1078,1622,5336,Active,52
335,A3011KK1,P,D794-03,64,32,CN,96,PALLT,PAL5H,10,0.1042,0,0.1042,5 x 5 wood pallet,668,664,2804,Active,10
335,A3012ML1,P,D794-45B,14,14,EA,28,PALLT,PAL5H,16,0.5714,126,5.0714,5 x 7 ORANGE,338,256,823,Active,16
335,A3012KK1,P,D794-45T,8,8,EA,16,PALLT,PAL3H,12,0.75,56,4.25,3.5 X 7  PAL3D,178,255,824,Active,12
335,A3012KW1,P,D794-50B,8,8,EA,16,PALLT,PAL3H,12,0.75,96,6.75,3.5 X 7  PAL3D,192,142,422,Active,12
335,A3012FD1,P,D794-50T,15,15,EA,30,PALLT,PAL5H,28,0.9333,73,3.3667,5 x 7 ORANGE,257,141,426,Active,28
335,A3013GQ1,P,D814-01,84,28,CN,112,PALLT,PAL5H,92,0.8214,80,1.5357,5 x 5 wood pallet,936,370,1498,Active,92
335,A3012CV1,P,D814-03A,32,16,CN,48,PALLT,PAL5H,42,0.875,48,1.875,5 x 7 ORANGE,92,84,378,Active,42
335,A3012HW1,P,D814-55B,20,20,EA,40,PALLT,PAL5H,38,0.95,0,0.95,5 x 7 ORANGE,73,40,178,Active,38
335,A3011FV1,P,D814-55T,8,8,EA,16,PALLT,PAL5H,10,0.625,24,2.125,5 X 8 PURPLE,57,40,178,Active,10
335,A3011GM1,P,D821-01,48,24,CN,72,PALLT,PAL5H,70,0.9722,180,3.4722,5 x 7 ORANGE,154,36,278,Active,70
335,A3011ES1,P,D821-02A,24,8,CN,32,PALLT,PAL5H,28,0.875,56,2.625,5 x 5 wood pallet,4,2,98,Active,28
335,A3011FL1,P,D821-25,6,6,EA,12,PALLT,PAL5H,11,0.9167,0,0.9167,5 X 8 PURPLE,46,6,115,Active,11
335,A3012DQ1,P,D824-01,32,32,CN,64,PALLT,PAL5H,54,0.8438,0,0.8438,5 x 7 ORANGE,62,10,324,Active,54
335,A3014FP1,P,D824-02,0,28,CN,28,PALLT,PAL5H,16,0.5714,14,1.0714,5 x 5 wood pallet,44,30,462,Active,16
335,A3012KD1,P,D824-05,64,32,CN,96,PALLT,PAL5H,22,0.2292,0,0.2292,5 x 5 wood pallet,64,34,490,Active,22
335,A3014DY1,P,D824-06,0,32,CN,32,PALLT,PAL5H,14,0.4375,38,1.625,5 x 5 wood pallet,24,2,234,Active,14
335,A3016LD1,P,D824-07,0,32,CN,32,PALLT,PAL5H,8,0.25,0,0.25,5 x 5 wood pallet,12,12,228,Active,8
335,A3016FB1,P,D824-09,0,32,CN,32,PALLT,PAL5H,10,0.3125,48,1.8125,5 x 5 wood pallet,146,44,1380,Active,10
335,A3016EC1,P,D824-124,0,32,CN,32,PALLT,PAL5H,12,0.375,24,1.125,5 x 5 wood pallet,8,2,136,Active,12
335,A3012KP1,P,D824-13,5,5,EA,10,PALLT,PAL5H,6,0.6,15,2.1,5 x 7 ORANGE,12,8,249,Active,6
335,A3014MF1,P,D824-224,0,32,CN,32,PALLT,PAL5H,10,0.3125,0,0.3125,5 x 5 wood pallet,6,0,46,Active,10
335,A3011DA1,P,D824-25,8,8,EA,16,PALLT,PAL5H,9,0.5625,35,2.75,5 X 8 PURPLE,21,4,181,Active,9
335,A3016EP1,P,D824-50B,0,16,EA,16,PALLT,PAL5H,11,0.6875,16,1.6875,5 x 5 wood pallet,14,5,109,Active,11
335,A3015DQ1,P,D824-50T,0,9,EA,9,PALLT,PAL5H,6,0.6667,9,1.6667,5 x 7 ORANGE,14,5,103,Active,6
335,A3014DX1,P,D824-724,0,20,CN,20,PALLT,PAL5H,6,0.3,76,4.1,5 x 5 wood pallet,46,22,484,Active,6
