Item,Open_CO_Qty,Total_Open_CO_Qty,Open_CO(%),Acc(%),Item_Class
5440579,7,,,,
5440530,7,,,,
D971-60,31,,,,
D971-45,43,,,,
D971-01,214,,,,
2740321,138,,,,
8721467,78,,,,
8390538,33,,,,
2000535,110,,,,
2000520,106,,,,
2000538,118,,,,
3340423,30,,,,
4060538,83,,,,
4060535,105,,,,
8390435,75,,,,
3340435,102,,,,
8390420,27,,,,
8390438,69,,,,
3570220,59,,,,
4060520,69,,,,
3340438,115,,,,
T377-13,887,,,,
T481-4,398,,,,
D631-124,648,,,,
7260016,28,,,,
7260034,43,,,,
7260067,28,,,,
5900625,11,,,,
H302-17,22,,,,
H302-12,57,,,,
D372-23,20,,,,
B697-78W1,85,,,,
B697-76W1,88,,,,
B697-99W1,87,,,,
4110235,8,,,,
4110320,104,,,,
4110220,4,,,,
4110218,11,,,,
5810346,60,,,,
1240416,26,,,,
1240455,297,,,,
3140323,57,,,,
3140223,28,,,,
3140238,123,,,,
3370644,249,,,,
3140235,100,,,,
3140308,11,,,,
3140208,12,,,,
2110464,244,,,,
1510435,157,,,,
A3000051,45,,,,
8550638,34,,,,
B778-36,38,,,,
B778-46,25,,,,
T411-40,89,,,,
B778-31,41,,,,
B733-46,21,,,,
B778-92,62,,,,
B733-57,33,,,,
B733-54,14,,,,
D397-425,147,,,,
2110416,86,,,,
2984164,148,,,,
2984177,83,,,,
2850238,276,,,,
2110446,345,,,,
2984108,50,,,,
1530516,44,,,,
M60X42W2,9,,,,
EW1864-268,41,,,,
EW3660-268,48,,,,
1361156,110,,,,
1361155,167,,,,
T659-20,15,,,,
5120525,54,,,,
5120425,66,,,,
3070620,34,,,,
3440135,59,,,,
3070638,35,,,,
3440138,51,,,,
3070635,43,,,,
9510335,165,,,,
9510338,145,,,,
7720414,4,,,,
B743-22,76,,,,
2984146,155,,,,
8721466,47,,,,
1100156,120,,,,
8721367,39,,,,
3890138,660,,,,
Z1510473,163,,,,
M61141W2,20,,,,
T845-9,17,,,,
M61121US,10,,,,
H743-34W9,53,,,,
1240417,31,,,,
B743-93W9,60,,,,
B743-21,21,,,,
B743-197,23,,,,
B743-26,19,,,,
B777-158,27,,,,
B743-56S,17,,,,
B743-45,24,,,,
B777-56,17,,,,
D924-55T,38,,,,
D924-01,274,,,,
D924-55B,38,,,,
B280-672,7,,,,
4060514,10,,,,
9380281,14,,,,
1030225,16,,,,
1030125,12,,,,
5120438,302,,,,
5120435,297,,,,
5860546,179,,,,
3890135,520,,,,
3890114,81,,,,
3890123,322,,,,
A3000244,785,,,,
2900449,60,,,,
2900416,60,,,,
7050935,18,,,,
7050938,25,,,,
T275-9,33,,,,
D393-425,118,,,,
2410120,52,,,,
4820220,120,,,,
4820238,146,,,,
4820214,27,,,,
4820235,126,,,,
8390567,23,,,,
8390520,12,,,,
8390566,22,,,,
D980-01,706,,,,
D980-60,63,,,,
D980-55T,96,,,,
