Item,Open_CO_Qty,Total_Open_CO_Qty,Open_CO(%),Acc(%),Item_Class
D380-624,4,,,,
T959-3,5,,,,
B760-92W9,4,,,,
B328-50,9,,,,
B328-58R,11,,,,
B328-58P,12,,,,
T916-2W9,1,,,,
EB1221-155,1,,,,
9910135,1,,,,
EB5514-112,2,,,,
9831035,3,,,,
B764-36,2,,,,
B764-71,5,,,,
A4000320,10,,,,
B743-60,1,,,,
W901-60,1,,,,
B743-80,1,,,,
B772-36,6,,,,
4522066,5,,,,
4522017,4,,,,
4970168,10,,,,
A4000500,14,,,,
2490414,3,,,,
D597-35,15,,,,
D597-01,28,,,,
B090-981W1,3,,,,
9030913,11,,,,
3450220,3,,,,
5630314,4,,,,
8670525,11,,,,
3990494,5,,,,
B786-92,12,,,,
B786-46,3,,,,
B786-36,4,,,,
B786-97,7,,,,
B786-31,4,,,,
B786-57,2,,,,
B786-58,5,,,,
B786-54,2,,,,
EB4121-157,11,,,,
EB4121-155,1,,,,
8120248,5,,,,
8120217,5,,,,
8120234,8,,,,
3320198,7,,,,
3320298,8,,,,
H400-411,6,,,,
T749-4,14,,,,
T749-1,30,,,,
T749-3,28,,,,
7260066,21,,,,
7260017,21,,,,
M8X332,2,,,,
B452-82W1,5,,,,
B924-56W1,7,,,,
B924-58W1,7,,,,
B924-93W9,39,,,,
1810268,5,,,,
9230438,35,,,,
9220434,6,,,,
9220417,6,,,,
9230414,5,,,,
9230423,32,,,,
9230435,21,,,,
9220408,4,,,,
EA4957-4X2,12,,,,
U1520618,2,,,,
U1520615,7,,,,
B685-46,5,,,,
B761-31,5,,,,
3190246,2,,,,
3190266,1,,,,
3190256,1,,,,
EB1198-245,5,,,,
5740535,7,,,,
9831042,8,,,,
4370147,4,,,,
1570665,3,,,,
1570677,2,,,,
1570646,6,,,,
1570664,3,,,,
1570616,3,,,,
1570617,3,,,,
A4000017,3,,,,
5950518,2,,,,
5950418,2,,,,
5900556,4,,,,
5900566,4,,,,
M42541W2,4,,,,
3210111,4,,,,
9030918,1,,,,
9030915,1,,,,
7720425,8,,,,
3450339,2,,,,
3450320,1,,,,
3450338,2,,,,
H449-110,1,,,,
B719-97,18,,,,
B719-56,18,,,,
8721483,2,,,,
2610760,24,,,,
5290611,8,,,,
1810214,2,,,,
8550639,1,,,,
T648-7W9,1,,,,
8120246,1,,,,
B008-125,10,,,,
EB1811-291,16,,,,
A3000121,5,,,,
H060-27,17,,,,
1361199,10,,,,
5360437,12,,,,
M59341W2,3,,,,
EB4121-231,11,,,,
EB4121-245,9,,,,
M62931W2,4,,,,
B745-31,1,,,,
T839-0,34,,,,
T839-7,12,,,,
3520414,4,,,,
3520423,13,,,,
3670214,2,,,,
4660525,3,,,,
8120216,3,,,,
8120249,3,,,,
EB2320-113,1,,,,
EB1221-156,1,,,,
9120238,2,,,,
4470474,2,,,,
4470482,2,,,,
4470447,2,,,,
4370106,1,,,,
4370174,3,,,,
B749-56W1,3,,,,
B749-58W1,3,,,,
B749-97W1,3,,,,
D589-00,5,,,,
2180289,4,,,,
5050414,8,,,,
3550408,1,,,,
2050211,1,,,,
4610406,14,,,,
T310-417,4,,,,
T310-317,4,,,,
D425-325,7,,,,
9150120,1,,,,
D425-223,3,,,,
3100516,4,,,,
3100567,4,,,,
1202135,4,,,,
B970-58,3,,,,
EB3660-112,2,,,,
6770338,1,,,,
B799-91W9,1,,,,
5560339,1,,,,
1964008,1,,,,
1964067,4,,,,
1964066,4,,,,
1964077,4,,,,
1964046,3,,,,
B680-52,1,,,,
B685-52,2,,,,
B718-36,11,,,,
B680-84,1,,,,
B680-86,2,,,,
B685-53,2,,,,
B685-86,2,,,,
B680-53,1,,,,
9400370,1,,,,
U8290201,1,,,,
U8290275,1,,,,
U8290277,4,,,,
9400316,1,,,,
T651-9,1,,,,
D813-00,11,,,,
5270549,24,,,,
5270576,24,,,,
5270534,30,,,,
8000435,17,,,,
8000425,19,,,,
8000438,16,,,,
A3000662,24,,,,
5050423,42,,,,
5270548,6,,,,
5270575,6,,,,
T869-2,1,,,,
4870139,3,,,,
D256-113,10,,,,
8230489,33,,,,
D511-25,14,,,,
D511-00,8,,,,
D511-01,54,,,,
5410208,1,,,,
U5950413,5,,,,
5410216,8,,,,
5410249,8,,,,
4770418,7,,,,
D749-01,24,,,,
D749-35,9,,,,
D388-113,13,,,,
M60X42US,19,,,,
8230494,13,,,,
3550421,1,,,,
A3000366,21,,,,
B803-46,4,,,,
U8290263,3,,,,
U8290246,3,,,,
U8290290,3,,,,
3570208,6,,,,
4522016,3,,,,
U1520682,4,,,,
U7160557,1,,,,
U7160577,1,,,,
U7160558,1,,,,
U7160546,1,,,,
U7160562,1,,,,
U7160531,1,,,,
D702-124,16,,,,
D250-05,12,,,,
W192-10,9,,,,
W215-10,13,,,,
EW0331-124,12,,,,
H102-17,4,,,,
D702-32,4,,,,
H060-127,16,,,,
A4000360,15,,,,
9400438,8,,,,
9400435,8,,,,
2540414,29,,,,
3054046,3,,,,
3054034,6,,,,
3054077,6,,,,
9230514,11,,,,
1840321,1,,,,
B799-58,2,,,,
D597-00,12,,,,
B799-36,2,,,,
D803-81,3,,,,
B783-31,1,,,,
B798-97W1,4,,,,
B798-82W1,4,,,,
9080438,1,,,,
B922-31,5,,,,
D922-60,6,,,,
B922-36,5,,,,
B922-93W9,10,,,,
B922-46,2,,,,
D773-09,37,,,,
A4000090,1,,,,
T300-717,51,,,,
9400439,1,,,,
5252111,3,,,,
1240408,1,,,,
EB2270-231,9,,,,
EA5514-243,1,,,,
T250-10,2,,,,
EA1811-243,4,,,,
EW2120-268,4,,,,
EA1221-243,1,,,,
EB2270-245,9,,,,
D647-13,10,,,,
2930257,4,,,,
A4000304,20,,,,
P111-835,4,,,,
P111-820,8,,,,
P210-601A,4,,,,
P114-835,2,,,,
P211-124,2,,,,
P008-827,8,,,,
P211-632,2,,,,
P111-701,4,,,,
P114-701,2,,,,
P114-820,4,,,,
P207-615,2,,,,
T310-117W9,1,,,,
T310-117,7,,,,
EB2270-113,11,,,,
T310-217,1,,,,
EB2270-157,13,,,,
W797-18,4,,,,
EB1198-231,5,,,,
B778-81,2,,,,
EB1811-231,1,,,,
B770-97W1,1,,,,
B770-56W1,1,,,,
B770-58W1,1,,,,
B770-93W9,5,,,,
2930205,1,,,,
1150371,7,,,,
B770-36,3,,,,
7500520,1,,,,
6200338,1,,,,
6490216,1,,,,
B799-57,4,,,,
B497-93,26,,,,
B768-56,20,,,,
B768-58,20,,,,
B776-96,4,,,,
D580-25,1,,,,
T937-1,19,,,,
D580-02,2,,,,
D546-50T,3,,,,
T175-4,2,,,,
D583-59,1,,,,
D546-50B,3,,,,
T937-3,18,,,,
D250-02,4,,,,
D583-25,1,,,,
3100408,1,,,,
D583-02,6,,,,
D291-13,1,,,,
T517-4,4,,,,
T175-2,2,,,,
9440116,3,,,,
9440167,3,,,,
2900408,1,,,,
EB1811-113,1,,,,
A3000330,8,,,,
A3000341,2,,,,
D776-50T,10,,,,
EB1198-113,3,,,,
EB1198-157,3,,,,
B984-36,1,,,,
B984-97,1,,,,
B765-31,1,,,,
B765-92,6,,,,
B798-82,7,,,,
B798-31,9,,,,
H527-12,2,,,,
B770-57,12,,,,
B798-96,3,,,,
B770-97,10,,,,
B770-56,10,,,,
B765-46,1,,,,
B649-92,3,,,,
B497-46,3,,,,
B740-36,1,,,,
B497-31,6,,,,
B740-31,1,,,,
B770-54,12,,,,
B970-56,3,,,,
B552-46,1,,,,
B770-58,10,,,,
B770-96,12,,,,
1000708,5,,,,
5740508,1,,,,
A3000656,1,,,,
3330167,3,,,,
B922-56W1,2,,,,
B922-58W1,2,,,,
H400-112,48,,,,
T648-7,7,,,,
T099-1,1,,,,
W060-58,10,,,,
EW2320-268,2,,,,
EB3392-245,3,,,,
EB3392-231,3,,,,
B5169-56SW1,3,,,,
B5169-36,3,,,,
B5169-58W1,3,,,,
B5169-31,3,,,,
U4370182,4,,,,
T756-7,6,,,,
EA2320-151,4,,,,
P802-835,3,,,,
P802-898,3,,,,
P384-603A,8,,,,
P384-625,4,,,,
P384-604A,4,,,,
A4000394,1,,,,
U8460413,3,,,,
U8460415,3,,,,
5900508,2,,,,
6762208,2,,,,
3100436,3,,,,
7870114,1,,,,
7870120,2,,,,
2180286,2,,,,
4522067,1,,,,
B740-58W1,2,,,,
B740-97W1,2,,,,
B740-56W1,2,,,,
EB3392-112,1,,,,
5930177,1,,,,
6280235,1,,,,
2070238,10,,,,
2780149,10,,,,
9770442,4,,,,
B740-96,5,,,,
1950435,6,,,,
B749-46,5,,,,
B740-154,2,,,,
B740-156,1,,,,
D754-50T,2,,,,
B803-96,1,,,,
5001114,3,,,,
8060314,2,,,,
B984-56,1,,,,
B749-36,3,,,,
1550482,7,,,,
1950439,1,,,,
B745-36,2,,,,
D397-02,2,,,,
2070239,51,,,,
5001135,1,,,,
B793-46,10,,,,
6190467,4,,,,
6190416,4,,,,
6190408,2,,,,
B947-94,1,,,,
B983-46,1,,,,
1202155,2,,,,
T393-13,1,,,,
4240425,4,,,,
4240488,3,,,,
4240486,3,,,,
1090112,9,,,,
T784-40,2,,,,
A4000563,2,,,,
B008-327,1,,,,
2930219,6,,,,
B793-97,5,,,,
B793-77,5,,,,
9150168,3,,,,
B793-74S,5,,,,
3410598,11,,,,
B649-58W1,5,,,,
B649-56W1,5,,,,
B649-97W1,5,,,,
7260008,1,,,,
B625-92,20,,,,
B625-57,4,,,,
B625-54,4,,,,
B625-31,6,,,,
B625-36,6,,,,
B625-56,6,,,,
4940538,6,,,,
B625-46,3,,,,
B625-97,10,,,,
4940535,6,,,,
B625-58,6,,,,
3054011,12,,,,
2270457,3,,,,
2270477,3,,,,
2270440,3,,,,
2270441,3,,,,
2210385,2,,,,
2210377,2,,,,
2210384,2,,,,
2210319,1,,,,
2270446,5,,,,
EB3477-111,1,,,,
8390408,1,,,,
8900838,2,,,,
3000415,1,,,,
M62641W2,1,,,,
D548-530,36,,,,
D282-124,24,,,,
8230425,20,,,,
B497-58,1,,,,
B497-56S,1,,,,
B497-97,1,,,,
5740566,1,,,,
5740516,1,,,,
5740517,2,,,,
A3000661,1,,,,
5740567,1,,,,
T287-7,2,,,,
A3000650,2,,,,
P011-827,2,,,,
2290231,1,,,,
2290262,1,,,,
M41141W2,1,,,,
2270419,1,,,,
2290257,1,,,,
2290246,3,,,,
2290258,1,,,,
2290277,1,,,,
3000413,2,,,,
5510520,2,,,,
W301-10,2,,,,
B783-82W1,3,,,,
9070313,14,,,,
4522083,1,,,,
D983-02,4,,,,
M42741W2,10,,,,
H755-11,3,,,,
B761-56,3,,,,
5900656,1,,,,
5900666,1,,,,
9400469,1,,,,
T844-1,20,,,,
T937-40,5,,,,
6750738,2,,,,
6750638,2,,,,
6750635,2,,,,
6750623,4,,,,
6750735,2,,,,
6750723,4,,,,
2862067,2,,,,
2862016,2,,,,
2862008,2,,,,
B799-96W1,2,,,,
B799-31,1,,,,
B799-54,2,,,,
EB5514-121,2,,,,
B970-31,1,,,,
Z1610744,1,,,,
1202166,9,,,,
1202156,9,,,,
P455-820,8,,,,
B751-94,4,,,,
D773-124,192,,,,
8900835,1,,,,
8900814,1,,,,
8900820,1,,,,
9400470,3,,,,
