ITNBR,ITDSC,ITCLS,HOUSE,ONHAND,UnitPrice($USD),AMT($USD),PRODUCT_CATEGORY,PICKPUT,ITMCLSID,UNITSWIDE,UNITLAYERS,UNITSDEEP,SCOOPQTY,SCOOPWIDTH,SKIDSIZE,ITMCQTY,PALLET_QTY
6300549UN,RAF SOFA/WEDGE/COVER/GRANITE,ZACK,,,57.64,,UnKits,PURPO,,0,0,0,0,0,0,4,
6300555UN,LAF LOVESEAT/COVER/GRANITE,ZACK,,,36.66,,UnKits,PURPO,,0,0,0,0,0,0,4,
6310114UN,OTTOMAN/COVER/EBONY,ZACK,51.0,12.0,5.543434785512725,66.52121742615269,UnKits,PURPO,,0,0,0,0,0,0,12,
6310120UN,CHAIR/COVER/EBONY,ZACK,51.0,6.0,15.180260475240482,91.08156285144288,UnKits,PURPO,,0,0,0,0,0,0,6,
6310135UN,LOVESEAT/COVER/EBONY,ZACK,51.0,4.0,27.90283494080805,111.6113397632322,UnKits,PURPO,,0,0,0,0,0,0,4,
6310138UN,SOFA/COVER/EBONY,ZACK,51.0,3.0,37.607104608928786,112.82131382678635,UnKits,PURPO,,0,0,0,0,0,0,3,
6310139UN,QUEEN SOFA SLEEPER/COVER/EBONY,ZACK,51.0,4.0,33.68630776909213,134.74523107636853,UnKits,PURPO,,0,0,0,0,0,0,4,
633S625UN,ROCKER RECLINER/COVER/UMBER,ZAMK,,,27.765250725922666,,UnKits,PURPO,,0,0,0,0,0,0,4,
633S689UN,REC SOFA/DROPTBL/COVER/UMBER,ZAMK,,,61.63279869151943,,UnKits,PURPO,,0,0,0,0,0,0,3,
633S694UN,DBL REC LOVE/CON/COVER/UMBER,ZAMK,,,52.13664233725232,,UnKits,PURPO,,0,0,0,0,0,0,4,
633S725UN,ROCKER RECLINER/COVER/PEBBLE,ZAMK,,,27.76717567068495,,UnKits,PURPO,,0,0,0,0,0,0,4,
633S789UN,REC SOFA/DROPTBL/COVER/PEBBLE,ZAMK,,,61.63279869151943,,UnKits,PURPO,,0,0,0,0,0,0,3,
633S794UN,DBL REC LOVE/CON/COVER/PEBBLE,ZAMK,,,52.157969617583746,,UnKits,PURPO,,0,0,0,0,0,0,4,
633X625UN,ROCKER RECLINER/COVER/UMBER,ZAMK,51.0,4.0,25.16,100.64,UnKits,UPH,UPHCH,2,3,2,12,1,3,4,1.0
633X689UN,REC SOFA/DROPTBL/COVER/UMBER,ZAMK,,,57.76,,UnKits,UPH,UPHCH,2,3,2,12,1,3,3,
633X694UN,DBL REC LOVE/CON/COVER/UMBER,ZAMK,,,48.53,,UnKits,UPH,UPHCH,2,9,2,36,1,3,4,
633X725UN,ROCKER RECLINER/COVER/PEBBLE,ZAMK,,,25.16,,UnKits,UPH,UPHCH,1,4,3,12,1,16,4,
633X789UN,REC SOFA/DROPTBL/COVER/PEBBLE,ZAMK,,,57.76,,UnKits,UPH,UPHCH,1,4,3,12,1,16,3,
633X794UN,DBL REC LOVE/CON/COVER/PEBBLE,ZAMK,51.0,4.0,47.84,191.36,UnKits,PURPO,,0,0,0,0,0,0,4,
6330625UN,ROCKER RECLINER/COVER/GRANITE,ZAMK,,,21.74,,UnKits,PURPO,,0,0,0,0,0,0,4,
6330689UN,REC SOFA/DROPTBL/COVER/GRANITE,ZAMK,,,47.61,,UnKits,PURPO,,0,0,0,0,0,0,3,
6330694UN,DBL REC LOVE/CON/COVER/GRANITE,ZAMK,,,41.62,,UnKits,PURPO,,0,0,0,0,0,0,4,
6330725UN,ROCKER RECLINER/COVER/PEBBLE,ZAMK,,,21.74,,UnKits,PURPO,,0,0,0,0,0,0,4,
6330789UN,REC SOFA/DROPTBL/COVER/PEBBLE,ZAMK,,,47.61,,UnKits,PURPO,,0,0,0,0,0,0,3,
6330794UN,DBL REC LOVE/CON/COVER/PEBBLE,ZAMK,,,41.62,,UnKits,PURPO,,0,0,0,0,0,0,4,
6340416UN,LAF CORNER CHAISE/COVER/SMOKE,ZACK,,,35.9,,UnKits,PURPO,,0,0,0,0,0,0,4,
6340467UN,RAF SOFA/COVER/SMOKE,ZACK,,,31.46,,UnKits,PURPO,,0,0,0,0,0,0,4,
6340517UN,RAF CRNR CHAISE/COVER/GUNMETAL,ZACK,,,35.45,,UnKits,PURPO,,0,0,0,0,0,0,4,
6340566UN,LAF SOFA/COVER/GUNMETAL,ZACK,,,30.18,,UnKits,PURPO,,0,0,0,0,0,0,4,
6350535MRUN,LOVESEAT/COVER/SLATE,ZACK,,,30.54645886762675,,UnKits,PURPO,,0,0,0,0,0,0,8,
6350535UN,LOVESEAT/COVER/SLATE,ZACK,,,31.55,,UnKits,PURPO,,0,0,0,0,0,0,4,
6350538MRUN,SOFA /COVER/SLATE,ZACK,,,43.3931741960939,,UnKits,PURPO,,0,0,0,0,0,0,6,
6350538UN,SOFA /COVER/SLATE,ZACK,,,44.85,,UnKits,PURPO,,0,0,0,0,0,0,3,
6360529UN,ZERO WALL RECLI/COVER/CHARCOAL,ZAMK,,,22.652387033371475,,UnKits,PURPO,,0,0,0,0,0,0,1,
6360588UN,RECLINING SOFA/COVER/CHARCOAL,ZAMK,,,47.35876193391517,,UnKits,PURPO,,0,0,0,0,0,0,1,
6360594UN,DBL RE LS W/CON/COVER/CHARCOAL,ZAMK,,,41.92894691612468,,UnKits,PURPO,,0,0,0,0,0,0,1,
6370635UN,LOVESEAT/COVER/GRAPHITE,ZACK,,,31.72,,UnKits,PURPO,,0,0,0,0,0,0,4,
6370638UN,SOFA/COVER/GRAPHITE,ZACK,,,39.46,,UnKits,PURPO,,0,0,0,0,0,0,3,
6370717UN,RAF CORNER CHAISE/COVER/STEEL,ZACK,,,40.47,,UnKits,PURPO,,0,0,0,0,0,0,4,
6370766UN,LAF SOFA/COVER/STEEL,ZACK,,,34.76,,UnKits,PURPO,,0,0,0,0,0,0,4,
638X229UN,ZERO WALL RECLINER/COVER/CHOCO,ZAMK,51.0,76.0,29.2,2219.2,UnKits,UPH,UPHCH,2,3,2,12,1,3,4,2.0
638X329UN,ZERO WALL RECLINER/COVER/TAUPE,ZAMK,51.0,8.0,29.2,233.6,UnKits,UPH,UPHCH,2,3,2,12,1,3,4,1.0
6380229UN,ZERO WALL RECLINER/COVER/CHOCO,ZAMK,,,22.78,,UnKits,PURPO,,0,0,0,0,0,0,4,
6380329UN,ZERO WALL RECLINER/COVER/TAUPE,ZAMK,,,22.78,,UnKits,PURPO,,0,0,0,0,0,0,4,
644X377UN,WEDGE/COVER/SILVER,ZACK,,,45.22,,UnKits,PURPO,,0,0,0,0,0,0,4,
6440311MRUN,OTT WITH STORAGE/COVER/SILVER,ZACK,,,13.675281120536596,,UnKits,PURPO,,0,0,0,0,0,0,6,
6440311UN,OTTO WITH STORAGE/COVER/SILVER,ZACK,,,14.68,,UnKits,PURPO,,0,0,0,0,0,0,6,
6440316MRUN,LAF CORNER CHAISE/COVER/SILVER,ZACK,,,47.8161373051884,,UnKits,PURPO,,0,0,0,0,0,0,3,
6440316UN,LAF CORNER CHAISE/COVER/SILVER,ZACK,,,61.17,,UnKits,PURPO,,0,0,0,0,0,0,3,
6440317MRUN,RAF CORNER CHAISE/COVER/SILVER,ZACK,,,47.875320576050505,,UnKits,PURPO,,0,0,0,0,0,0,3,
6440317UN,RAF CORNER CHAISE/COVER/SILVER,ZACK,,,61.24,,UnKits,PURPO,,0,0,0,0,0,0,3,
6440334MRUN,ARMLESS LOVESEAT/COVER/SILVER,ZACK,,,37.89702110869994,,UnKits,PURPO,,0,0,0,0,0,0,6,
6440334UN,ARMLESS LOVESEAT/COVER/SILVER,ZACK,,,41.02,,UnKits,PURPO,,0,0,0,0,0,0,4,
6440346MRUN,ARMLESS CHAIR/COVER/SILVER,ZACK,,,21.400670743736438,,UnKits,PURPO,,0,0,0,0,0,0,12,
6440346UN,ARMLESS CHAIR/COVER/SILVER,ZACK,,,23.11,,UnKits,PURPO,,0,0,0,0,0,0,4,
6440355MRUN,LAF LOVESEAT/COVER/SILVER,ZACK,,,54.480173604261196,,UnKits,PURPO,,0,0,0,0,0,0,3,
6440355UN,LAF LOVESEAT/COVER/SILVER,ZACK,,,68.78,,UnKits,PURPO,,0,0,0,0,0,0,3,
6440356MRUN,RAF LOVESEAT/COVER/SILVER,ZACK,,,54.55513908068652,,UnKits,PURPO,,0,0,0,0,0,0,3,
6440356UN,RAF LOVESEAT/COVER/SILVER,ZACK,,,68.86,,UnKits,PURPO,,0,0,0,0,0,0,3,
6440377MRUN,WEDGE/COVER/SILVER,ZACK,,,35.76642335766423,,UnKits,PURPO,,0,0,0,0,0,0,5,
6440377UN,WEDGE/COVER/SILVER,ZACK,,,44.52,,UnKits,PURPO,,0,0,0,0,0,0,4,
6440399UN,ARMLESS SOFA/COVER/SILVER,ZACK,,,81.95,,UnKits,PURPO,,0,0,0,0,0,0,3,
6450625UN,ROCKER RECLINE/COVER/DRIFTWOOD,ZAMK,,,24.4377028784711,,UnKits,PURPO,,0,0,0,0,0,0,1,
6450688UN,RECLINING SOFA/COVER/DRIFTWOOD,ZAMK,,,49.4953023218911,,UnKits,PURPO,,0,0,0,0,0,0,1,
6450694UN,DBL REC LS W/CON/CV/DRIFTWOOD,ZAMK,,,45.26882480067706,,UnKits,PURPO,,0,0,0,0,0,0,1,
6460635UN,LOVESEAT/COVER/LINEN,ZACK,,,46.74,,UnKits,PURPO,,0,0,0,0,0,0,4,
6460638UN,SOFA/COVER/LINEN,ZACK,,,68.06,,UnKits,PURPO,,0,0,0,0,0,0,3,
6460735UN,LOVESEAT/COVER/CHALK,ZACK,,,51.05,,UnKits,PURPO,,0,0,0,0,0,0,4,
6460738UN,SOFA/COVER/CHALK,ZACK,,,73.52,,UnKits,PURPO,,0,0,0,0,0,0,3,
