MIL Unkits Shipped By Daily,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,
Date,SKUs,Cartons,Qty,Pallet  Qty
2025-05-02 00:00:00,215,3842.8990000000013,16694,306.54398809523775
2025-05-03 00:00:00,264,4460.531,20638,349.94131746031724
2025-05-04 00:00:00,212,3072.7459999999996,12036,250.32356150793666
2025-05-05 00:00:00,244,3968.467000000001,20944,325.9884662698416
2025-05-06 00:00:00,264,4311.908,19079,342.50051785714317
2025-05-07 00:00:00,264,4450.642000000002,21066,337.3071597222225
2025-05-08 00:00:00,253,4830.4890000000005,22219,374.08207341269775
2025-05-09 00:00:00,257,4299.5599999999995,19395,323.5609682539685
2025-05-10 00:00:00,213,3831.4780000000005,16498,289.2538650793651
2025-05-11 00:00:00,250,3970.8079999999995,16464,304.1009702380956
2025-05-12 00:00:00,244,4145.487000000001,19028,325.8601250000003
2025-05-13 00:00:00,345,4812.348000000002,20956,372.9618055555557
2025-05-14 00:00:00,308,5123.9220000000005,21796,398.20519444444443
2025-05-15 00:00:00,292,4161.983,22048,326.8546388888891
2025-05-16 00:00:00,296,4268.660000000001,18437,339.91997619047623
2025-05-17 00:00:00,287,4308.394000000001,20887,342.64131349206315
2025-05-18 00:00:00,65,363.999,1326,28.285624999999992
2025-05-19 00:00:00,259,4048.4959999999996,20170,322.4941984126986
2025-05-20 00:00:00,263,4284.566000000001,18268,356.2975595238097
2025-05-21 00:00:00,272,4727.152,22726,393.4490674603178
2025-05-22 00:00:00,247,4736.136999999999,19188,383.82412500000004
2025-05-23 00:00:00,287,4708.941000000001,25330,366.8036349206355
2025-05-24 00:00:00,227,4353.715,17595,333.1002103174605
2025-05-25 00:00:00,219,3499.4710000000005,14242,279.1302619047622
2025-05-26 00:00:00,305,4790.8189999999995,22210,374.1745099206351
2025-05-27 00:00:00,287,4480.485,19599,351.30538293650795
2025-05-28 00:00:00,281,4876.057000000001,20028,369.995865079365
2025-05-29 00:00:00,328,4668.234,22041,361.66717063492086
2025-05-30 00:00:00,279,4272.9130000000005,18240,329.70906349206365
2025-05-31 00:00:00,259,4519.321000000001,22272,344.2909087301587
2025-06-01 00:00:00,185,2562.7419999999997,9871,205.88295833333322
2025-06-02 00:00:00,228,4315.235000000001,18764,335.2436746031749
2025-06-03 00:00:00,263,4699.829000000001,19305,351.2475734126989
2025-06-04 00:00:00,278,4506.656,18376,330.841484126984
2025-06-05 00:00:00,256,4790.568000000001,19067,361.0513611111108
2025-06-06 00:00:00,261,4658.939,23669,364.0905595238094
2025-06-07 00:00:00,264,4930.315000000001,20128,368.5765575396822
2025-06-08 00:00:00,166,2452.6520000000005,9468,196.22434523809542
2025-06-09 00:00:00,237,3851.44,19066,288.8217301587301
2025-06-10 00:00:00,229,3859.9869999999996,16716,307.0252480158728
2025-06-11 00:00:00,257,4272.157000000001,20807,325.5332718253971
2025-06-12 00:00:00,256,4179.478000000001,21313,319.87812698412705
2025-06-13 00:00:00,257,4788.5740000000005,20057,373.3246269841269
2025-06-14 00:00:00,237,4336.657999999999,20543,330.09812301587317
2025-06-15 00:00:00,94,829.9940000000003,3251,61.72370634920635
2025-06-16 00:00:00,233,3568.3990000000013,15714,272.42457539682545
2025-06-17 00:00:00,347,5066.102999999999,24291,380.55223015873
2025-06-18 00:00:00,260,4333.247,17678,339.94924900793626
2025-06-19 00:00:00,256,4251.320000000001,20146,327.0195634920637
2025-06-20 00:00:00,261,4772.06,19404,365.1964880952382
2025-06-21 00:00:00,221,4244.901000000001,19915,315.02031349206345
2025-06-22 00:00:00,228,2902.2370000000014,11645,214.3611011904762
2025-06-23 00:00:00,273,4413.243,17635,328.8712043650794
2025-06-24 00:00:00,277,4290.239,17410,342.3121884920636
2025-06-25 00:00:00,273,4545.870000000001,21007,343.95565476190427
2025-06-26 00:00:00,286,4911.58,19372,370.96334523809526
2025-06-27 00:00:00,312,5017.745,26472,375.22839285714264
2025-06-28 00:00:00,249,4611.494000000001,17957,363.6989126984124
2025-06-29 00:00:00,153,2168.665,8439,158.8866964285715
2025-06-30 00:00:00,239,4377.741,22241,337.5703035714287
2025-07-01 00:00:00,250,4224.141000000001,19062,323.634380952381
