WARE HOUSE,ITEM,KIT/BOX,Weight of full box (Kg),Weight of each kit (Kg),Dimension box,L_INCH,W_INCH,H_INCH,STYLE
MILLENNIUM,730H438UN,3.0,20.946,5.942,TELE-UN-37X28.5X12INCH#3,37.0,28.5,12.0,FABRIC
MILLENNIUM,7300421UN,8.0,23.848,2.518,RSC-UN-37X28.5X16INCH#8,37.0,28.5,16.0,FABRIC
MILLENNIUM,7300425UN,4.0,18.312,3.798,TELE-UN-37X28.5X12INCH#3,37.0,28.5,12.0,FABRIC
MILLENNIUM,7300435UN,4.0,22.484,4.836,TELE-UN-37X28.5X14INCH#3,37.0,28.5,14.0,FABRIC
MILLENNIUM,7300438UN,3.0,20.967,5.942,TELE-UN-37X28.5X12INCH#3,37.0,28.5,12.0,FABRIC
MILLENNIUM,750H020UN,6.0,19.038,2.47,RSC-UN-37X28.5X16INCH#8,37.0,28.5,16.0,FABRIC
MILLENNIUM,750H035UN,4.0,17.48,3.59,TELE-UN-37X28.5X12INCH#3,37.0,28.5,12.0,FABRIC
MILLENNIUM,750H038UN,4.0,22.276,4.644,RSC-UN-37X28.5X16INCH#8,37.0,28.5,16.0,FABRIC
MILLENNIUM,7500014UN,6.0,5.712,0.677,RSC-UN-37X28.5X8IN #8,37.0,28.5,8.0,FABRIC
MILLENNIUM,7500018UN,3.0,18.177,5.012,TELE-UN-37X28.5X14INCH#3,37.0,28.5,14.0,FABRIC
MILLENNIUM,7500020UN,6.0,18.27,2.265,RSC-UN-37X28.5X16INCH#8,37.0,28.5,16.0,FABRIC
MILLENNIUM,7500025UN,12.0,27.84,1.813,RSC-UN-37X28.5X22INCH#8,37.0,28.5,22.0,FABRIC
MILLENNIUM,7500035UN,4.0,15.664,3.131,TELE-UN-37X28.5X14INCH#3,37.0,28.5,14.0,FABRIC
MILLENNIUM,7500036UN,3.0,12.729,3.203,TELE-UN-37X28.5X12INCH#3,37.0,28.5,12.0,FABRIC
MILLENNIUM,7500038UN,4.0,19.444,3.936,RSC-UN-37X28.5X16INCH#8,37.0,28.5,16.0,FABRIC
MILLENNIUM,7500055UN,4.0,16.5,3.34,TELE-UN-37X28.5X12INCH#3,37.0,28.5,12.0,FABRIC
MILLENNIUM,7500056UN,4.0,15.612,3.118,TELE-UN-37X28.5X12INCH#3,37.0,28.5,12.0,FABRIC
MILLENNIUM,7500058UN,4.0,20.06,4.09,RSC-UN-37X28.5X16INCH#8,37.0,28.5,16.0,FABRIC
MILLENNIUM,7500114UN,6.0,5.316,0.611,RSC-UN-37X28.5X8IN #8,37.0,28.5,8.0,FABRIC
MILLENNIUM,7500118UN,3.0,17.148,4.669,TELE-UN-37X28.5X14INCH#3,37.0,28.5,14.0,FABRIC
MILLENNIUM,7500120UN,6.0,17.61,2.155,RSC-UN-37X28.5X16INCH#8,37.0,28.5,16.0,FABRIC
MILLENNIUM,7500125UN,12.0,27.06,1.748,RSC-UN-37X28.5X19.5INCH#8,37.0,28.5,19.5,FABRIC
MILLENNIUM,7500135UN,4.0,15.02,2.97,TELE-UN-37X28.5X14INCH#3,37.0,28.5,14.0,FABRIC
MILLENNIUM,7500136UN,3.0,12.018,2.966,TELE-UN-37X28.5X12INCH#3,37.0,28.5,12.0,FABRIC
MILLENNIUM,7500138UN,4.0,19.444,3.936,RSC-UN-37X28.5X16INCH#8,37.0,28.5,16.0,FABRIC
MILLENNIUM,7500155UN,4.0,15.96,3.205,TELE-UN-37X28.5X12INCH#3,37.0,28.5,12.0,FABRIC
MILLENNIUM,7500156UN,4.0,15.612,3.118,TELE-UN-37X28.5X12INCH#3,37.0,28.5,12.0,FABRIC
MILLENNIUM,7500158UN,4.0,20.272,4.143,RSC-UN-37X28.5X16INCH#8,37.0,28.5,16.0,FABRIC
MILLENNIUM,7500214UN,6.0,5.298,0.608,RSC-UN-37X28.5X8IN #8,37.0,28.5,8.0,FABRIC
MILLENNIUM,7500218UN,3.0,16.815,4.558,TELE-UN-37X28.5X14INCH#3,37.0,28.5,14.0,FABRIC
MILLENNIUM,7500220UN,6.0,16.848,2.028,RSC-UN-37X28.5X16INCH#8,37.0,28.5,16.0,FABRIC
MILLENNIUM,7500225UN,12.0,26.448,1.697,RSC-UN-37X28.5X22INCH#8,37.0,28.5,22.0,FABRIC
MILLENNIUM,7500235UN,4.0,14.596,2.864,TELE-UN-37X28.5X14INCH#3,37.0,28.5,14.0,FABRIC
MILLENNIUM,7500236UN,3.0,12.39,3.09,TELE-UN-37X28.5X12INCH#3,37.0,28.5,12.0,FABRIC
MILLENNIUM,7500238UN,4.0,19.444,3.936,RSC-UN-37X28.5X16INCH#8,37.0,28.5,16.0,FABRIC
MILLENNIUM,7500255UN,4.0,15.724,3.146,TELE-UN-37X28.5X12INCH#3,37.0,28.5,12.0,FABRIC
MILLENNIUM,7500256UN,4.0,15.612,3.118,TELE-UN-37X28.5X12INCH#3,37.0,28.5,12.0,FABRIC
MILLENNIUM,7500258UN,4.0,20.06,4.09,RSC-UN-37X28.5X16INCH#8,37.0,28.5,16.0,FABRIC
MILLENNIUM,7500414UN,6.0,5.622,0.662,RSC-UN-37X28.5X8IN #8,37.0,28.5,8.0,FABRIC
MILLENNIUM,7500418UN,3.0,16.935,4.598,TELE-UN-37X28.5X14INCH#3,37.0,28.5,14.0,FABRIC
MILLENNIUM,7500420UN,6.0,17.988,2.218,RSC-UN-37X28.5X16INCH#8,37.0,28.5,16.0,FABRIC
MILLENNIUM,7500425UN,12.0,27.36,1.773,RSC-UN-37X28.5X22INCH#8,37.0,28.5,22.0,FABRIC
MILLENNIUM,7500435UN,4.0,15.172,3.008,TELE-UN-37X28.5X14INCH#3,37.0,28.5,14.0,FABRIC
MILLENNIUM,7500436UN,3.0,12.852,3.244,TELE-UN-37X28.5X12INCH#3,37.0,28.5,12.0,FABRIC
MILLENNIUM,7500438UN,4.0,19.444,3.936,RSC-UN-37X28.5X16INCH#8,37.0,28.5,16.0,FABRIC
MILLENNIUM,7500455UN,4.0,16.264,3.281,TELE-UN-37X28.5X12INCH#3,37.0,28.5,12.0,FABRIC
MILLENNIUM,7500456UN,4.0,15.612,3.118,TELE-UN-37X28.5X12INCH#3,37.0,28.5,12.0,FABRIC
MILLENNIUM,7500458UN,4.0,20.5,4.2,RSC-UN-37X28.5X16INCH#8,37.0,28.5,16.0,FABRIC
